Date,Hour,region,Demand,Net generation
2015-07-01,0,CAR,25608.0,25129.0
2015-07-01,1,CAR,25608.0,25129.0
2015-07-01,2,CAR,25608.0,25129.0
2015-07-01,3,CAR,25608.0,25129.0
2015-07-01,4,CAR,25608.0,25129.0
2015-07-01,5,CAR,22945.0,22934.0
2015-07-01,6,CAR,21396.0,21397.0
2015-07-01,7,CAR,20627.0,20598.0
2015-07-01,8,CAR,20102.0,20068.0
2015-07-01,9,CAR,19931.0,19965.0
2015-07-01,10,CAR,20700.0,20575.0
2015-07-01,11,CAR,21791.0,21766.0
2015-07-01,12,CAR,23018.0,22800.0
2015-07-01,13,CAR,24234.0,23900.0
2015-07-01,14,CAR,25608.0,25129.0
2015-07-01,15,CAR,27401.0,26901.0
2015-07-01,16,CAR,29413.0,28715.0
2015-07-01,17,CAR,31169.0,30377.0
2015-07-01,18,CAR,32838.0,31994.0
2015-07-01,19,CAR,34078.0,33053.0
2015-07-01,20,CAR,34892.0,33632.0
2015-07-01,21,CAR,35125.0,33884.0
2015-07-01,22,CAR,34811.0,33583.0
2015-07-01,23,CAR,33712.0,32736.0
2015-07-02,0,CAR,32270.0,31673.0
2015-07-02,1,CAR,31456.0,30829.0
2015-07-02,2,CAR,30655.0,30070.0
2015-07-02,3,CAR,28341.0,28060.0
2015-07-02,4,CAR,25812.0,25698.0
2015-07-02,5,CAR,23646.0,23539.0
2015-07-02,6,CAR,22348.0,22171.0
2015-07-02,7,CAR,21413.0,21379.0
2015-07-02,8,CAR,20851.0,20833.0
2015-07-02,9,CAR,20799.0,20697.0
2015-07-02,10,CAR,21430.0,21314.0
2015-07-02,11,CAR,22561.0,22361.0
2015-07-02,12,CAR,23813.0,23600.0
2015-07-02,13,CAR,24985.0,24681.0
2015-07-02,14,CAR,26501.0,26141.0
2015-07-02,15,CAR,28574.0,28077.0
2015-07-02,16,CAR,30375.0,29555.0
2015-07-02,17,CAR,31930.0,30891.0
2015-07-02,18,CAR,33201.0,31620.0
2015-07-02,19,CAR,33928.0,32226.0
2015-07-02,20,CAR,34159.0,32269.0
2015-07-02,21,CAR,33844.0,31948.0
2015-07-02,22,CAR,32954.0,31155.0
2015-07-02,23,CAR,31611.0,30201.0
2015-07-03,0,CAR,30068.0,29051.0
2015-07-03,1,CAR,29006.0,28423.0
2015-07-03,2,CAR,28289.0,27753.0
2015-07-03,3,CAR,26360.0,26075.0
2015-07-03,4,CAR,24090.0,24059.0
2015-07-03,5,CAR,21993.0,22083.0
2015-07-03,6,CAR,20645.0,20847.0
2015-07-03,7,CAR,19823.0,19964.0
2015-07-03,8,CAR,19311.0,19523.0
2015-07-03,9,CAR,19228.0,19320.0
2015-07-03,10,CAR,19553.0,19531.0
2015-07-03,11,CAR,19915.0,19987.0
2015-07-03,12,CAR,20706.0,20857.0
2015-07-03,13,CAR,22121.0,22166.0
2015-07-03,14,CAR,23476.0,23537.0
2015-07-03,15,CAR,24733.0,24666.0
2015-07-03,16,CAR,25608.0,25482.0
2015-07-03,17,CAR,26572.0,26269.0
2015-07-03,18,CAR,27259.0,26896.0
2015-07-03,19,CAR,27948.0,27338.0
2015-07-03,20,CAR,28311.0,27509.0
2015-07-03,21,CAR,28632.0,27846.0
2015-07-03,22,CAR,28771.0,27942.0
2015-07-03,23,CAR,28280.0,27711.0
2015-07-04,0,CAR,27372.0,27000.0
2015-07-04,1,CAR,26743.0,26542.0
2015-07-04,2,CAR,26563.0,26287.0
2015-07-04,3,CAR,25213.0,25188.0
2015-07-04,4,CAR,23481.0,23333.0
2015-07-04,5,CAR,21817.0,21643.0
2015-07-04,6,CAR,20572.0,20409.0
2015-07-04,7,CAR,19633.0,19633.0
2015-07-04,8,CAR,18968.0,19043.0
2015-07-04,9,CAR,18710.0,18943.0
2015-07-04,10,CAR,18738.0,18944.0
2015-07-04,11,CAR,18648.0,18863.0
2015-07-04,12,CAR,19351.0,19524.0
2015-07-04,13,CAR,21264.0,21311.0
2015-07-04,14,CAR,23524.0,23218.0
2015-07-04,15,CAR,25557.0,25277.0
2015-07-04,16,CAR,27168.0,26751.0
2015-07-04,17,CAR,28110.0,27609.0
2015-07-04,18,CAR,28989.0,28362.0
2015-07-04,19,CAR,29632.0,28845.0
2015-07-04,20,CAR,30366.0,29544.0
2015-07-04,21,CAR,31347.0,30405.0
2015-07-04,22,CAR,31581.0,30597.0
2015-07-04,23,CAR,30706.0,29986.0
2015-07-05,0,CAR,29128.0,28566.0
2015-07-05,1,CAR,27794.0,27236.0
2015-07-05,2,CAR,26813.0,26305.0
2015-07-05,3,CAR,25602.0,25292.0
2015-07-05,4,CAR,24150.0,24193.0
2015-07-05,5,CAR,22349.0,22510.0
2015-07-05,6,CAR,20918.0,21069.0
2015-07-05,7,CAR,19855.0,20083.0
2015-07-05,8,CAR,19290.0,19505.0
2015-07-05,9,CAR,18926.0,19179.0
2015-07-05,10,CAR,18844.0,19096.0
2015-07-05,11,CAR,18655.0,18937.0
2015-07-05,12,CAR,19538.0,19560.0
2015-07-05,13,CAR,21449.0,21472.0
2015-07-05,14,CAR,23582.0,23268.0
2015-07-05,15,CAR,25714.0,25333.0
2015-07-05,16,CAR,27540.0,27144.0
2015-07-05,17,CAR,29455.0,28909.0
2015-07-05,18,CAR,31263.0,30589.0
2015-07-05,19,CAR,32167.0,31394.0
2015-07-05,20,CAR,32492.0,31782.0
2015-07-05,21,CAR,32336.0,31559.0
2015-07-05,22,CAR,32220.0,31357.0
2015-07-05,23,CAR,31491.0,30767.0
2015-07-06,0,CAR,30149.0,29682.0
2015-07-06,1,CAR,29121.0,28717.0
2015-07-06,2,CAR,28550.0,28146.0
2015-07-06,3,CAR,26534.0,26239.0
2015-07-06,4,CAR,24183.0,24055.0
2015-07-06,5,CAR,22155.0,22322.0
2015-07-06,6,CAR,20791.0,20999.0
2015-07-06,7,CAR,19990.0,20191.0
2015-07-06,8,CAR,19553.0,19790.0
2015-07-06,9,CAR,19619.0,19777.0
2015-07-06,10,CAR,20610.0,20711.0
2015-07-06,11,CAR,21799.0,21904.0
2015-07-06,12,CAR,23436.0,23372.0
2015-07-06,13,CAR,25266.0,25099.0
2015-07-06,14,CAR,27241.0,27048.0
2015-07-06,15,CAR,29413.0,29127.0
2015-07-06,16,CAR,31496.0,31054.0
2015-07-06,17,CAR,33264.0,32682.0
2015-07-06,18,CAR,34817.0,34190.0
2015-07-06,19,CAR,36096.0,35213.0
2015-07-06,20,CAR,36935.0,35875.0
2015-07-06,21,CAR,37399.0,36259.0
2015-07-06,22,CAR,37345.0,36227.0
2015-07-06,23,CAR,36531.0,35594.0
2015-07-07,0,CAR,34869.0,34327.0
2015-07-07,1,CAR,33481.0,32984.0
2015-07-07,2,CAR,32400.0,32021.0
2015-07-07,3,CAR,29745.0,29714.0
2015-07-07,4,CAR,26922.0,26982.0
2015-07-07,5,CAR,24447.0,24263.0
2015-07-07,6,CAR,22881.0,22506.0
2015-07-07,7,CAR,21731.0,21355.0
2015-07-07,8,CAR,21114.0,20759.0
