Date,Hour,region,Demand,Net generation
2015-07-01,0,FLA,30853.0,28489.0
2015-07-01,1,FLA,30853.0,28489.0
2015-07-01,2,FLA,30853.0,28489.0
2015-07-01,3,FLA,30853.0,28489.0
2015-07-01,4,FLA,30853.0,28489.0
2015-07-01,5,FLA,26384.0,24794.0
2015-07-01,6,FLA,24336.0,23033.0
2015-07-01,7,FLA,22842.0,21663.0
2015-07-01,8,FLA,21906.0,20779.0
2015-07-01,9,FLA,21615.0,20506.0
2015-07-01,10,FLA,22297.0,21174.0
2015-07-01,11,FLA,23691.0,22247.0
2015-07-01,12,FLA,24955.0,23440.0
2015-07-01,13,FLA,27473.0,25610.0
2015-07-01,14,FLA,30853.0,28489.0
2015-07-01,15,FLA,34251.0,31465.0
2015-07-01,16,FLA,36840.0,33909.0
2015-07-01,17,FLA,38687.0,35748.0
2015-07-01,18,FLA,40140.0,36845.0
2015-07-01,19,FLA,41227.0,37832.0
2015-07-01,20,FLA,41963.0,38536.0
2015-07-01,21,FLA,42385.0,38962.0
2015-07-01,22,FLA,41897.0,38599.0
2015-07-01,23,FLA,40586.0,37300.0
2015-07-02,0,FLA,38866.0,35783.0
2015-07-02,1,FLA,37264.0,34196.0
2015-07-02,2,FLA,35513.0,32484.0
2015-07-02,3,FLA,32572.0,29539.0
2015-07-02,4,FLA,29414.0,27026.0
2015-07-02,5,FLA,26623.0,24971.0
2015-07-02,6,FLA,24653.0,23215.0
2015-07-02,7,FLA,23175.0,21861.0
2015-07-02,8,FLA,22305.0,21023.0
2015-07-02,9,FLA,22060.0,20918.0
2015-07-02,10,FLA,22714.0,21466.0
2015-07-02,11,FLA,23910.0,22393.0
2015-07-02,12,FLA,25242.0,23527.0
2015-07-02,13,FLA,27780.0,25627.0
2015-07-02,14,FLA,31059.0,28643.0
2015-07-02,15,FLA,34349.0,31607.0
2015-07-02,16,FLA,37245.0,34288.0
2015-07-02,17,FLA,39391.0,36078.0
2015-07-02,18,FLA,40515.0,37174.0
2015-07-02,19,FLA,40658.0,37074.0
2015-07-02,20,FLA,40042.0,36571.0
2015-07-02,21,FLA,39175.0,35603.0
2015-07-02,22,FLA,38245.0,34807.0
2015-07-02,23,FLA,36769.0,33965.0
2015-07-03,0,FLA,35077.0,32200.0
2015-07-03,1,FLA,34010.0,31152.0
2015-07-03,2,FLA,32723.0,29924.0
2015-07-03,3,FLA,30569.0,27809.0
2015-07-03,4,FLA,27964.0,25487.0
2015-07-03,5,FLA,25427.0,23395.0
2015-07-03,6,FLA,23687.0,22148.0
2015-07-03,7,FLA,22380.0,21214.0
2015-07-03,8,FLA,21477.0,20389.0
2015-07-03,9,FLA,21039.0,20014.0
2015-07-03,10,FLA,21257.0,20198.0
2015-07-03,11,FLA,21717.0,20629.0
2015-07-03,12,FLA,22803.0,21588.0
2015-07-03,13,FLA,25933.0,24256.0
2015-07-03,14,FLA,29676.0,27667.0
2015-07-03,15,FLA,33136.0,30446.0
2015-07-03,16,FLA,36154.0,33267.0
2015-07-03,17,FLA,38524.0,35429.0
2015-07-03,18,FLA,40248.0,36705.0
2015-07-03,19,FLA,41357.0,37608.0
2015-07-03,20,FLA,41756.0,37767.0
2015-07-03,21,FLA,41323.0,37394.0
2015-07-03,22,FLA,39995.0,36206.0
2015-07-03,23,FLA,37750.0,33844.0
2015-07-04,0,FLA,35654.0,32208.0
2015-07-04,1,FLA,34435.0,31114.0
2015-07-04,2,FLA,33023.0,29726.0
2015-07-04,3,FLA,30780.0,27631.0
2015-07-04,4,FLA,28071.0,25604.0
2015-07-04,5,FLA,25562.0,23480.0
2015-07-04,6,FLA,23510.0,22140.0
2015-07-04,7,FLA,22031.0,20764.0
2015-07-04,8,FLA,21058.0,19800.0
2015-07-04,9,FLA,20426.0,19258.0
2015-07-04,10,FLA,20224.0,19085.0
2015-07-04,11,FLA,20328.0,19130.0
2015-07-04,12,FLA,21218.0,19911.0
2015-07-04,13,FLA,24004.0,22450.0
2015-07-04,14,FLA,27566.0,25428.0
2015-07-04,15,FLA,31039.0,27818.0
2015-07-04,16,FLA,33966.0,30812.0
2015-07-04,17,FLA,36184.0,33059.0
2015-07-04,18,FLA,37789.0,34637.0
2015-07-04,19,FLA,38639.0,35297.0
2015-07-04,20,FLA,38873.0,35683.0
2015-07-04,21,FLA,38355.0,35181.0
2015-07-04,22,FLA,37086.0,34026.0
2015-07-04,23,FLA,35197.0,32104.0
2015-07-05,0,FLA,33058.0,29925.0
2015-07-05,1,FLA,31403.0,28393.0
2015-07-05,2,FLA,29823.0,26827.0
2015-07-05,3,FLA,28859.0,26303.0
2015-07-05,4,FLA,27393.0,25038.0
2015-07-05,5,FLA,25325.0,23592.0
2015-07-05,6,FLA,23571.0,22475.0
2015-07-05,7,FLA,22275.0,21243.0
2015-07-05,8,FLA,21366.0,20335.0
2015-07-05,9,FLA,20828.0,19813.0
2015-07-05,10,FLA,20704.0,19670.0
2015-07-05,11,FLA,20672.0,19640.0
2015-07-05,12,FLA,21463.0,20294.0
2015-07-05,13,FLA,24520.0,22743.0
2015-07-05,14,FLA,28403.0,26240.0
2015-07-05,15,FLA,31917.0,28929.0
2015-07-05,16,FLA,34981.0,31821.0
2015-07-05,17,FLA,37373.0,34100.0
2015-07-05,18,FLA,39047.0,35873.0
2015-07-05,19,FLA,39956.0,36852.0
2015-07-05,20,FLA,40246.0,37115.0
2015-07-05,21,FLA,39724.0,36466.0
2015-07-05,22,FLA,38305.0,35001.0
2015-07-05,23,FLA,36195.0,32961.0
2015-07-06,0,FLA,34271.0,31075.0
2015-07-06,1,FLA,32908.0,29785.0
2015-07-06,2,FLA,31513.0,28408.0
2015-07-06,3,FLA,29340.0,26689.0
2015-07-06,4,FLA,26653.0,24198.0
2015-07-06,5,FLA,24237.0,22392.0
2015-07-06,6,FLA,22202.0,21013.0
2015-07-06,7,FLA,20758.0,19725.0
2015-07-06,8,FLA,19907.0,19004.0
2015-07-06,9,FLA,19818.0,18855.0
2015-07-06,10,FLA,20708.0,19593.0
2015-07-06,11,FLA,22325.0,20973.0
2015-07-06,12,FLA,23882.0,22578.0
2015-07-06,13,FLA,26037.0,24392.0
2015-07-06,14,FLA,29005.0,26805.0
2015-07-06,15,FLA,32296.0,29395.0
2015-07-06,16,FLA,35403.0,32417.0
2015-07-06,17,FLA,38050.0,34671.0
2015-07-06,18,FLA,40186.0,36789.0
2015-07-06,19,FLA,41116.0,37826.0
2015-07-06,20,FLA,40900.0,37576.0
2015-07-06,21,FLA,40390.0,37181.0
2015-07-06,22,FLA,38995.0,35767.0
2015-07-06,23,FLA,37326.0,34523.0
2015-07-07,0,FLA,35604.0,32874.0
2015-07-07,1,FLA,34560.0,31721.0
2015-07-07,2,FLA,33048.0,30328.0
2015-07-07,3,FLA,30394.0,27836.0
2015-07-07,4,FLA,27450.0,25438.0
2015-07-07,5,FLA,24916.0,23440.0
2015-07-07,6,FLA,23144.0,22021.0
2015-07-07,7,FLA,21847.0,20662.0
2015-07-07,8,FLA,21037.0,19854.0
2015-07-07,9,FLA,20853.0,19663.0
2015-07-07,10,FLA,21629.0,20507.0
2015-07-07,11,FLA,23179.0,22011.0
2015-07-07,12,FLA,24486.0,23342.0
2015-07-07,13,FLA,26730.0,25120.0
2015-07-07,14,FLA,29490.0,27458.0
2015-07-07,15,FLA,32565.0,29954.0
2015-07-07,16,FLA,35107.0,32522.0
2015-07-07,17,FLA,37089.0,34208.0
2015-07-07,18,FLA,38494.0,35487.0
2015-07-07,19,FLA,38598.0,35737.0
2015-07-07,20,FLA,37897.0,35053.0
2015-07-07,21,FLA,37130.0,34325.0
2015-07-07,22,FLA,36286.0,33500.0
2015-07-07,23,FLA,35015.0,32483.0
2015-07-08,0,FLA,33514.0,31125.0
2015-07-08,1,FLA,32732.0,30342.0
2015-07-08,2,FLA,31736.0,29189.0
2015-07-08,3,FLA,29431.0,27151.0
2015-07-08,4,FLA,26634.0,24620.0
2015-07-08,5,FLA,24210.0,22633.0
2015-07-08,6,FLA,22405.0,21225.0
2015-07-08,7,FLA,21293.0,20211.0
2015-07-08,8,FLA,20601.0,19516.0
2015-07-08,9,FLA,20516.0,19416.0
2015-07-08,10,FLA,21325.0,20188.0
2015-07-08,11,FLA,22753.0,21568.0
2015-07-08,12,FLA,24164.0,22939.0
2015-07-08,13,FLA,26392.0,24857.0
2015-07-08,14,FLA,29544.0,27583.0
2015-07-08,15,FLA,32821.0,30246.0
2015-07-08,16,FLA,35759.0,33062.0
2015-07-08,17,FLA,38159.0,35202.0
2015-07-08,18,FLA,40104.0,37105.0
2015-07-08,19,FLA,41419.0,38285.0
2015-07-08,20,FLA,41914.0,38691.0
2015-07-08,21,FLA,41519.0,38522.0
2015-07-08,22,FLA,40702.0,37766.0
2015-07-08,23,FLA,39511.0,36829.0
2015-07-09,0,FLA,37604.0,35089.0
2015-07-09,1,FLA,36092.0,33345.0
2015-07-09,2,FLA,34763.0,31782.0
2015-07-09,3,FLA,32090.0,29277.0
2015-07-09,4,FLA,29149.0,26609.0
2015-07-09,5,FLA,26463.0,24754.0
2015-07-09,6,FLA,24414.0,23380.0
2015-07-09,7,FLA,23070.0,22039.0
2015-07-09,8,FLA,22122.0,21145.0
2015-07-09,9,FLA,21893.0,20895.0
2015-07-09,10,FLA,22636.0,21554.0
2015-07-09,11,FLA,24072.0,22932.0
2015-07-09,12,FLA,25653.0,24275.0
2015-07-09,13,FLA,28435.0,26519.0
2015-07-09,14,FLA,31747.0,29669.0
2015-07-09,15,FLA,35097.0,32233.0
2015-07-09,16,FLA,37762.0,34778.0
2015-07-09,17,FLA,39986.0,36678.0
2015-07-09,18,FLA,41890.0,38262.0
2015-07-09,19,FLA,43322.0,39488.0
2015-07-09,20,FLA,44176.0,40380.0
2015-07-09,21,FLA,44071.0,40282.0
2015-07-09,22,FLA,43270.0,39709.0
2015-07-09,23,FLA,41718.0,38545.0
2015-07-10,0,FLA,39521.0,36493.0
2015-07-10,1,FLA,38134.0,35131.0
2015-07-10,2,FLA,36324.0,33277.0
2015-07-10,3,FLA,33288.0,30575.0
2015-07-10,4,FLA,30068.0,27923.0
2015-07-10,5,FLA,27125.0,25531.0
2015-07-10,6,FLA,25148.0,24056.0
2015-07-10,7,FLA,23799.0,22953.0
2015-07-10,8,FLA,22752.0,21869.0
2015-07-10,9,FLA,22413.0,21501.0
2015-07-10,10,FLA,22992.0,21865.0
2015-07-10,11,FLA,24168.0,23133.0
2015-07-10,12,FLA,25681.0,24489.0
2015-07-10,13,FLA,28519.0,26812.0
2015-07-10,14,FLA,31876.0,29849.0
2015-07-10,15,FLA,35244.0,32592.0
2015-07-10,16,FLA,38156.0,35352.0
2015-07-10,17,FLA,40424.0,37383.0
2015-07-10,18,FLA,42319.0,38904.0
2015-07-10,19,FLA,43625.0,40030.0
2015-07-10,20,FLA,44358.0,40964.0
2015-07-10,21,FLA,44579.0,41269.0
2015-07-10,22,FLA,44003.0,40873.0
2015-07-10,23,FLA,42459.0,39752.0
2015-07-11,0,FLA,40145.0,37652.0
2015-07-11,1,FLA,38172.0,35776.0
2015-07-11,2,FLA,35330.0,32671.0
2015-07-11,3,FLA,40274.0,37869.0
2015-07-11,4,FLA,30108.0,28433.0
2015-07-11,5,FLA,28167.0,27002.0
2015-07-11,6,FLA,25926.0,24874.0
2015-07-11,7,FLA,24313.0,23349.0
2015-07-11,8,FLA,23132.0,22164.0
2015-07-11,9,FLA,22433.0,21459.0
2015-07-11,10,FLA,22317.0,21382.0
2015-07-11,11,FLA,22474.0,21591.0
2015-07-11,12,FLA,23479.0,22591.0
2015-07-11,13,FLA,26769.0,25421.0
2015-07-11,14,FLA,30699.0,29196.0
2015-07-11,15,FLA,34425.0,32087.0
2015-07-11,16,FLA,37654.0,34906.0
2015-07-11,17,FLA,40204.0,37293.0
2015-07-11,18,FLA,41845.0,38794.0
2015-07-11,19,FLA,42836.0,39656.0
2015-07-11,20,FLA,43102.0,39889.0
2015-07-11,21,FLA,42586.0,39423.0
2015-07-11,22,FLA,41284.0,38430.0
2015-07-11,23,FLA,39004.0,36572.0
2015-07-12,0,FLA,36950.0,34508.0
2015-07-12,1,FLA,35762.0,33291.0
2015-07-12,2,FLA,34406.0,31899.0
2015-07-12,3,FLA,29743.0,27618.0
2015-07-12,4,FLA,35594.0,33642.0
2015-07-12,5,FLA,26726.0,25247.0
2015-07-12,6,FLA,24769.0,23574.0
2015-07-12,7,FLA,23295.0,22411.0
2015-07-12,8,FLA,22302.0,21478.0
2015-07-12,9,FLA,21714.0,20948.0
2015-07-12,10,FLA,21470.0,20772.0
2015-07-12,11,FLA,21558.0,20783.0
2015-07-12,12,FLA,22483.0,21633.0
2015-07-12,13,FLA,25547.0,24306.0
2015-07-12,14,FLA,29503.0,27891.0
2015-07-12,15,FLA,32844.0,30233.0
2015-07-12,16,FLA,35558.0,32816.0
2015-07-12,17,FLA,37946.0,35182.0
2015-07-12,18,FLA,39714.0,36734.0
2015-07-12,19,FLA,40561.0,37456.0
2015-07-12,20,FLA,40633.0,37509.0
2015-07-12,21,FLA,40180.0,37089.0
2015-07-12,22,FLA,39168.0,36260.0
2015-07-12,23,FLA,37788.0,34994.0
2015-07-13,0,FLA,36082.0,33610.0
2015-07-13,1,FLA,35078.0,32541.0
2015-07-13,2,FLA,33884.0,31301.0
2015-07-13,3,FLA,31527.0,29166.0
2015-07-13,4,FLA,28508.0,26788.0
2015-07-13,5,FLA,25867.0,24713.0
2015-07-13,6,FLA,23937.0,23007.0
2015-07-13,7,FLA,22650.0,21818.0
2015-07-13,8,FLA,21818.0,20945.0
2015-07-13,9,FLA,21606.0,20765.0
2015-07-13,10,FLA,22399.0,21496.0
2015-07-13,11,FLA,23795.0,22675.0
2015-07-13,12,FLA,25254.0,23956.0
2015-07-13,13,FLA,27880.0,26254.0
2015-07-13,14,FLA,31178.0,29352.0
2015-07-13,15,FLA,34784.0,32210.0
2015-07-13,16,FLA,37887.0,35170.0
2015-07-13,17,FLA,40558.0,37292.0
2015-07-13,18,FLA,42915.0,39581.0
2015-07-13,19,FLA,44128.0,40808.0
2015-07-13,20,FLA,44133.0,40792.0
2015-07-13,21,FLA,43627.0,40280.0
2015-07-13,22,FLA,42911.0,39603.0
2015-07-13,23,FLA,41389.0,38748.0
2015-07-14,0,FLA,39647.0,36999.0
2015-07-14,1,FLA,38468.0,35905.0
2015-07-14,2,FLA,36848.0,34324.0
2015-07-14,3,FLA,33945.0,31798.0
2015-07-14,4,FLA,30623.0,28917.0
2015-07-14,5,FLA,27665.0,26541.0
2015-07-14,6,FLA,25621.0,24542.0
2015-07-14,7,FLA,24294.0,23252.0
2015-07-14,8,FLA,23490.0,22479.0
2015-07-14,9,FLA,23312.0,22321.0
2015-07-14,10,FLA,24114.0,23019.0
2015-07-14,11,FLA,25661.0,24504.0
2015-07-14,12,FLA,27041.0,25768.0
2015-07-14,13,FLA,29516.0,27734.0
2015-07-14,14,FLA,32937.0,30647.0
2015-07-14,15,FLA,36066.0,33437.0
2015-07-14,16,FLA,38313.0,35644.0
2015-07-14,17,FLA,39760.0,36922.0
2015-07-14,18,FLA,40389.0,37671.0
2015-07-14,19,FLA,40319.0,37449.0
2015-07-14,20,FLA,39435.0,36343.0
2015-07-14,21,FLA,38941.0,36268.0
2015-07-14,22,FLA,38861.0,36409.0
2015-07-14,23,FLA,38313.0,35916.0
2015-07-15,0,FLA,37029.0,34791.0
2015-07-15,1,FLA,36038.0,33966.0
2015-07-15,2,FLA,34715.0,32609.0
2015-07-15,3,FLA,32193.0,30291.0
2015-07-15,4,FLA,29320.0,27724.0
2015-07-15,5,FLA,26768.0,25571.0
2015-07-15,6,FLA,25076.0,23946.0
2015-07-15,7,FLA,23914.0,22812.0
2015-07-15,8,FLA,23235.0,22146.0
2015-07-15,9,FLA,23058.0,21948.0
2015-07-15,10,FLA,23880.0,22571.0
2015-07-15,11,FLA,25533.0,24248.0
2015-07-15,12,FLA,26697.0,25251.0
2015-07-15,13,FLA,28807.0,26726.0
2015-07-15,14,FLA,31733.0,29461.0
2015-07-15,15,FLA,34634.0,32105.0
2015-07-15,16,FLA,37016.0,34473.0
2015-07-15,17,FLA,38290.0,35750.0
2015-07-15,18,FLA,38467.0,35517.0
2015-07-15,19,FLA,38269.0,35322.0
2015-07-15,20,FLA,38173.0,35181.0
2015-07-15,21,FLA,37734.0,34793.0
2015-07-15,22,FLA,37032.0,34380.0
2015-07-15,23,FLA,35928.0,33215.0
2015-07-16,0,FLA,34342.0,31684.0
2015-07-16,1,FLA,34084.0,31312.0
2015-07-16,2,FLA,32866.0,30143.0
2015-07-16,3,FLA,30291.0,28169.0
2015-07-16,4,FLA,27672.0,25836.0
2015-07-16,5,FLA,25126.0,23651.0
2015-07-16,6,FLA,23390.0,22320.0
2015-07-16,7,FLA,22334.0,21288.0
2015-07-16,8,FLA,21799.0,20780.0
2015-07-16,9,FLA,21685.0,20639.0
2015-07-16,10,FLA,22662.0,21476.0
2015-07-16,11,FLA,24286.0,23074.0
2015-07-16,12,FLA,25569.0,24416.0
2015-07-16,13,FLA,27704.0,26030.0
2015-07-16,14,FLA,30368.0,28386.0
2015-07-16,15,FLA,33100.0,30578.0
2015-07-16,16,FLA,34944.0,32311.0
2015-07-16,17,FLA,36087.0,33331.0
2015-07-16,18,FLA,36209.0,33635.0
2015-07-16,19,FLA,35859.0,33194.0
2015-07-16,20,FLA,35730.0,33081.0
2015-07-16,21,FLA,35463.0,32808.0
2015-07-16,22,FLA,35070.0,32393.0
2015-07-16,23,FLA,34273.0,31537.0
2015-07-17,0,FLA,33289.0,30657.0
2015-07-17,1,FLA,32901.0,30370.0
2015-07-17,2,FLA,31971.0,29429.0
2015-07-17,3,FLA,29737.0,27530.0
2015-07-17,4,FLA,27110.0,25354.0
2015-07-17,5,FLA,24615.0,23424.0
2015-07-17,6,FLA,22889.0,21796.0
2015-07-17,7,FLA,21738.0,20778.0
2015-07-17,8,FLA,21068.0,20070.0
2015-07-17,9,FLA,20961.0,19901.0
2015-07-17,10,FLA,21742.0,20649.0
2015-07-17,11,FLA,23100.0,21988.0
2015-07-17,12,FLA,24499.0,23605.0
2015-07-17,13,FLA,26926.0,25485.0
2015-07-17,14,FLA,29916.0,27966.0
2015-07-17,15,FLA,32040.0,29478.0
2015-07-17,16,FLA,35456.0,32804.0
2015-07-17,17,FLA,37057.0,34170.0
2015-07-17,18,FLA,38284.0,35279.0
2015-07-17,19,FLA,38866.0,35915.0
2015-07-17,20,FLA,38725.0,35774.0
2015-07-17,21,FLA,38027.0,35191.0
2015-07-17,22,FLA,36856.0,34091.0
2015-07-17,23,FLA,35171.0,32365.0
2015-07-18,0,FLA,33350.0,30582.0
2015-07-18,1,FLA,32618.0,29935.0
2015-07-18,2,FLA,31537.0,28809.0
2015-07-18,3,FLA,29536.0,27086.0
2015-07-18,4,FLA,27116.0,25055.0
2015-07-18,5,FLA,24897.0,23450.0
2015-07-18,6,FLA,23200.0,22167.0
2015-07-18,7,FLA,22078.0,21075.0
2015-07-18,8,FLA,21295.0,20333.0
2015-07-18,9,FLA,20910.0,20037.0
2015-07-18,10,FLA,21158.0,20128.0
2015-07-18,11,FLA,21562.0,20490.0
2015-07-18,12,FLA,22651.0,21615.0
2015-07-18,13,FLA,25722.0,24306.0
2015-07-18,14,FLA,29338.0,27498.0
2015-07-18,15,FLA,32485.0,29923.0
2015-07-18,16,FLA,34516.0,31942.0
2015-07-18,17,FLA,36092.0,33578.0
2015-07-18,18,FLA,37245.0,34369.0
2015-07-18,19,FLA,37495.0,34584.0
2015-07-18,20,FLA,36753.0,34060.0
2015-07-18,21,FLA,36089.0,33352.0
2015-07-18,22,FLA,35647.0,32884.0
2015-07-18,23,FLA,34736.0,31926.0
2015-07-19,0,FLA,33403.0,30678.0
2015-07-19,1,FLA,32646.0,29978.0
2015-07-19,2,FLA,31782.0,29064.0
2015-07-19,3,FLA,29830.0,27329.0
2015-07-19,4,FLA,27494.0,25502.0
2015-07-19,5,FLA,25134.0,23419.0
2015-07-19,6,FLA,23315.0,21929.0
2015-07-19,7,FLA,22027.0,20939.0
2015-07-19,8,FLA,21172.0,20189.0
2015-07-19,9,FLA,20740.0,19747.0
2015-07-19,10,FLA,20606.0,19601.0
2015-07-19,11,FLA,20758.0,19705.0
2015-07-19,12,FLA,21656.0,20701.0
2015-07-19,13,FLA,25064.0,23539.0
2015-07-19,14,FLA,29021.0,27054.0
2015-07-19,15,FLA,32316.0,29747.0
2015-07-19,16,FLA,35033.0,32487.0
2015-07-19,17,FLA,37173.0,34598.0
2015-07-19,18,FLA,38756.0,36135.0
2015-07-19,19,FLA,39551.0,36922.0
2015-07-19,20,FLA,39449.0,36799.0
2015-07-19,21,FLA,39540.0,36679.0
2015-07-19,22,FLA,39601.0,36776.0
2015-07-19,23,FLA,38857.0,36020.0
2015-07-20,0,FLA,37171.0,34461.0
2015-07-20,1,FLA,35808.0,33120.0
2015-07-20,2,FLA,34439.0,31822.0
2015-07-20,3,FLA,31762.0,29371.0
2015-07-20,4,FLA,28829.0,27074.0
2015-07-20,5,FLA,26149.0,24979.0
2015-07-20,6,FLA,24236.0,23133.0
2015-07-20,7,FLA,22918.0,21858.0
2015-07-20,8,FLA,22079.0,21062.0
2015-07-20,9,FLA,21984.0,21032.0
2015-07-20,10,FLA,22786.0,21713.0
2015-07-20,11,FLA,24207.0,22993.0
2015-07-20,12,FLA,25695.0,24648.0
2015-07-20,13,FLA,28461.0,26979.0
2015-07-20,14,FLA,31903.0,29847.0
2015-07-20,15,FLA,35133.0,32609.0
2015-07-20,16,FLA,37702.0,34846.0
2015-07-20,17,FLA,39718.0,36628.0
2015-07-20,18,FLA,40930.0,37861.0
2015-07-20,19,FLA,41455.0,38328.0
2015-07-20,20,FLA,41518.0,38537.0
2015-07-20,21,FLA,41304.0,38377.0
2015-07-20,22,FLA,40831.0,37982.0
2015-07-20,23,FLA,39523.0,36930.0
2015-07-21,0,FLA,37750.0,35128.0
2015-07-21,1,FLA,36543.0,33976.0
2015-07-21,2,FLA,35102.0,32520.0
2015-07-21,3,FLA,32519.0,30178.0
2015-07-21,4,FLA,29634.0,27910.0
2015-07-21,5,FLA,26693.0,25450.0
2015-07-21,6,FLA,24722.0,23739.0
2015-07-21,7,FLA,23465.0,22465.0
2015-07-21,8,FLA,22801.0,21805.0
2015-07-21,9,FLA,22603.0,21645.0
2015-07-21,10,FLA,23288.0,22263.0
2015-07-21,11,FLA,24793.0,23726.0
2015-07-21,12,FLA,26211.0,25197.0
2015-07-21,13,FLA,28930.0,27310.0
2015-07-21,14,FLA,32218.0,30260.0
2015-07-21,15,FLA,35452.0,33039.0
2015-07-21,16,FLA,38219.0,35366.0
2015-07-21,17,FLA,40241.0,36972.0
2015-07-21,18,FLA,41192.0,37802.0
2015-07-21,19,FLA,41800.0,38264.0
2015-07-21,20,FLA,41707.0,38294.0
2015-07-21,21,FLA,41277.0,37776.0
2015-07-21,22,FLA,40395.0,36845.0
2015-07-21,23,FLA,39211.0,35979.0
2015-07-22,0,FLA,37642.0,34777.0
2015-07-22,1,FLA,36504.0,33752.0
2015-07-22,2,FLA,35082.0,32397.0
2015-07-22,3,FLA,32469.0,30003.0
2015-07-22,4,FLA,29223.0,27328.0
2015-07-22,5,FLA,26870.0,25314.0
2015-07-22,6,FLA,25023.0,23896.0
2015-07-22,7,FLA,23792.0,22824.0
2015-07-22,8,FLA,23092.0,22136.0
2015-07-22,9,FLA,22934.0,21972.0
2015-07-22,10,FLA,23739.0,22666.0
2015-07-22,11,FLA,25280.0,24021.0
2015-07-22,12,FLA,26622.0,25149.0
2015-07-22,13,FLA,29310.0,27372.0
2015-07-22,14,FLA,32391.0,30325.0
2015-07-22,15,FLA,35487.0,32877.0
2015-07-22,16,FLA,38231.0,35163.0
2015-07-22,17,FLA,40282.0,36641.0
2015-07-22,18,FLA,41175.0,37608.0
2015-07-22,19,FLA,41478.0,37862.0
2015-07-22,20,FLA,41121.0,37656.0
2015-07-22,21,FLA,40378.0,36983.0
2015-07-22,22,FLA,39600.0,36285.0
2015-07-22,23,FLA,38626.0,35864.0
2015-07-23,0,FLA,37178.0,34649.0
2015-07-23,1,FLA,36247.0,33767.0
2015-07-23,2,FLA,34873.0,32548.0
2015-07-23,3,FLA,32268.0,30232.0
2015-07-23,4,FLA,29290.0,27670.0
2015-07-23,5,FLA,26849.0,25535.0
2015-07-23,6,FLA,25025.0,23816.0
2015-07-23,7,FLA,23831.0,22843.0
2015-07-23,8,FLA,23075.0,22149.0
