Date,Hour,region,Demand,Net generation
2015-07-01,0,NE,16275.0,14684.0
2015-07-01,1,NE,16275.0,14684.0
2015-07-01,2,NE,16275.0,14684.0
2015-07-01,3,NE,16275.0,14684.0
2015-07-01,4,NE,16275.0,14684.0
2015-07-01,5,NE,12583.0,11322.0
2015-07-01,6,NE,12349.0,11376.0
2015-07-01,7,NE,12445.0,11305.0
2015-07-01,8,NE,12385.0,11303.0
2015-07-01,9,NE,12387.0,11460.0
2015-07-01,10,NE,12931.0,11817.0
2015-07-01,11,NE,13655.0,12358.0
2015-07-01,12,NE,14740.0,13630.0
2015-07-01,13,NE,15669.0,14357.0
2015-07-01,14,NE,16275.0,14684.0
2015-07-01,15,NE,16801.0,15202.0
2015-07-01,16,NE,17112.0,15482.0
2015-07-01,17,NE,17218.0,15560.0
2015-07-01,18,NE,17569.0,15763.0
2015-07-01,19,NE,17846.0,16163.0
2015-07-01,20,NE,18117.0,16443.0
2015-07-01,21,NE,18354.0,16771.0
2015-07-01,22,NE,18456.0,16906.0
2015-07-01,23,NE,18150.0,16488.0
2015-07-02,0,NE,17653.0,16007.0
2015-07-02,1,NE,17286.0,15468.0
2015-07-02,2,NE,16701.0,14882.0
2015-07-02,3,NE,15220.0,13830.0
2015-07-02,4,NE,13594.0,12151.0
2015-07-02,5,NE,13011.0,11606.0
2015-07-02,6,NE,12881.0,11648.0
2015-07-02,7,NE,12635.0,11237.0
2015-07-02,8,NE,12426.0,11085.0
2015-07-02,9,NE,12459.0,11109.0
2015-07-02,10,NE,12942.0,11656.0
2015-07-02,11,NE,13642.0,12557.0
2015-07-02,12,NE,14158.0,13124.0
2015-07-02,13,NE,15123.0,14120.0
2015-07-02,14,NE,15784.0,14661.0
2015-07-02,15,NE,16339.0,15030.0
2015-07-02,16,NE,16730.0,15205.0
2015-07-02,17,NE,16988.0,15328.0
2015-07-02,18,NE,17270.0,15646.0
2015-07-02,19,NE,17394.0,15860.0
2015-07-02,20,NE,17342.0,15794.0
2015-07-02,21,NE,17280.0,15573.0
2015-07-02,22,NE,17139.0,15336.0
2015-07-02,23,NE,16726.0,14943.0
2015-07-03,0,NE,16305.0,14608.0
2015-07-03,1,NE,16178.0,14409.0
2015-07-03,2,NE,15779.0,14308.0
2015-07-03,3,NE,14564.0,13521.0
2015-07-03,4,NE,13356.0,12292.0
2015-07-03,5,NE,12463.0,11312.0
2015-07-03,6,NE,11827.0,11003.0
2015-07-03,7,NE,11543.0,10788.0
2015-07-03,8,NE,11491.0,10781.0
2015-07-03,9,NE,11705.0,10922.0
2015-07-03,10,NE,11785.0,10666.0
2015-07-03,11,NE,11714.0,10899.0
2015-07-03,12,NE,12415.0,11388.0
2015-07-03,13,NE,13099.0,12052.0
2015-07-03,14,NE,13793.0,12840.0
2015-07-03,15,NE,14295.0,13421.0
2015-07-03,16,NE,14614.0,13470.0
2015-07-03,17,NE,14792.0,13754.0
2015-07-03,18,NE,14984.0,13878.0
2015-07-03,19,NE,15227.0,14071.0
2015-07-03,20,NE,15551.0,14482.0
2015-07-03,21,NE,15947.0,14826.0
2015-07-03,22,NE,16186.0,15143.0
2015-07-03,23,NE,15858.0,14978.0
2015-07-04,0,NE,15256.0,14273.0
2015-07-04,1,NE,14964.0,14000.0
2015-07-04,2,NE,14578.0,13604.0
2015-07-04,3,NE,13600.0,12707.0
2015-07-04,4,NE,12491.0,11715.0
2015-07-04,5,NE,11669.0,11010.0
2015-07-04,6,NE,11348.0,10590.0
2015-07-04,7,NE,11348.0,10270.0
2015-07-04,8,NE,11349.0,10211.0
2015-07-04,9,NE,11283.0,10283.0
2015-07-04,10,NE,11274.0,10233.0
2015-07-04,11,NE,11574.0,10484.0
2015-07-04,12,NE,11956.0,11218.0
2015-07-04,13,NE,12243.0,11525.0
2015-07-04,14,NE,12809.0,12030.0
2015-07-04,15,NE,13352.0,12686.0
2015-07-04,16,NE,13635.0,12837.0
2015-07-04,17,NE,13828.0,13059.0
2015-07-04,18,NE,13749.0,12893.0
2015-07-04,19,NE,13511.0,12566.0
2015-07-04,20,NE,13334.0,12372.0
2015-07-04,21,NE,13297.0,12349.0
2015-07-04,22,NE,13386.0,12405.0
2015-07-04,23,NE,13371.0,12491.0
2015-07-05,0,NE,13208.0,12524.0
2015-07-05,1,NE,13137.0,12372.0
2015-07-05,2,NE,12953.0,12344.0
2015-07-05,3,NE,12421.0,11713.0
2015-07-05,4,NE,11655.0,11168.0
2015-07-05,5,NE,10803.0,10455.0
2015-07-05,6,NE,10678.0,10381.0
2015-07-05,7,NE,10755.0,10405.0
2015-07-05,8,NE,10711.0,10303.0
2015-07-05,9,NE,10885.0,10326.0
2015-07-05,10,NE,10675.0,10342.0
2015-07-05,11,NE,10368.0,10446.0
2015-07-05,12,NE,10611.0,10808.0
2015-07-05,13,NE,11543.0,11539.0
2015-07-05,14,NE,12519.0,12007.0
2015-07-05,15,NE,13338.0,12627.0
2015-07-05,16,NE,13975.0,13287.0
2015-07-05,17,NE,14510.0,14082.0
2015-07-05,18,NE,14883.0,14002.0
2015-07-05,19,NE,15226.0,14288.0
2015-07-05,20,NE,15647.0,14705.0
2015-07-05,21,NE,16138.0,14696.0
2015-07-05,22,NE,16595.0,15247.0
2015-07-05,23,NE,16653.0,15470.0
2015-07-06,0,NE,16440.0,15442.0
2015-07-06,1,NE,16383.0,14972.0
2015-07-06,2,NE,16084.0,15156.0
2015-07-06,3,NE,14848.0,14383.0
2015-07-06,4,NE,13411.0,12850.0
2015-07-06,5,NE,12775.0,12073.0
2015-07-06,6,NE,12634.0,12030.0
2015-07-06,7,NE,12607.0,11992.0
2015-07-06,8,NE,12590.0,12016.0
2015-07-06,9,NE,12640.0,11983.0
2015-07-06,10,NE,12575.0,11953.0
2015-07-06,11,NE,13004.0,12449.0
2015-07-06,12,NE,14476.0,13836.0
2015-07-06,13,NE,15660.0,14843.0
2015-07-06,14,NE,16665.0,15852.0
2015-07-06,15,NE,17625.0,16720.0
2015-07-06,16,NE,18394.0,17444.0
2015-07-06,17,NE,18838.0,17521.0
2015-07-06,18,NE,19262.0,17925.0
2015-07-06,19,NE,19504.0,18032.0
2015-07-06,20,NE,19680.0,18282.0
2015-07-06,21,NE,19896.0,18601.0
2015-07-06,22,NE,20011.0,18966.0
2015-07-06,23,NE,19683.0,18562.0
2015-07-07,0,NE,19154.0,17852.0
2015-07-07,1,NE,18843.0,17354.0
2015-07-07,2,NE,18103.0,16899.0
2015-07-07,3,NE,16373.0,14982.0
2015-07-07,4,NE,15134.0,13164.0
2015-07-07,5,NE,14126.0,12822.0
2015-07-07,6,NE,13627.0,12504.0
2015-07-07,7,NE,13608.0,12031.0
2015-07-07,8,NE,13501.0,11428.0
2015-07-07,9,NE,13659.0,12014.0
2015-07-07,10,NE,14141.0,12664.0
2015-07-07,11,NE,14813.0,13423.0
2015-07-07,12,NE,16068.0,14661.0
2015-07-07,13,NE,16864.0,15785.0
2015-07-07,14,NE,17751.0,16755.0
2015-07-07,15,NE,18678.0,17163.0
2015-07-07,16,NE,19376.0,17471.0
2015-07-07,17,NE,19910.0,17966.0
2015-07-07,18,NE,20424.0,18405.0
2015-07-07,19,NE,20699.0,18750.0
2015-07-07,20,NE,20835.0,19174.0
2015-07-07,21,NE,20867.0,19107.0
2015-07-07,22,NE,20831.0,18779.0
2015-07-07,23,NE,20474.0,18410.0
2015-07-08,0,NE,20000.0,17833.0
2015-07-08,1,NE,19794.0,17422.0
2015-07-08,2,NE,19039.0,16849.0
2015-07-08,3,NE,17421.0,15314.0
2015-07-08,4,NE,16032.0,14210.0
2015-07-08,5,NE,15512.0,13939.0
2015-07-08,6,NE,15199.0,13501.0
2015-07-08,7,NE,14746.0,13115.0
2015-07-08,8,NE,14464.0,12860.0
2015-07-08,9,NE,14589.0,13101.0
2015-07-08,10,NE,14968.0,13284.0
2015-07-08,11,NE,15884.0,14123.0
2015-07-08,12,NE,17112.0,15303.0
2015-07-08,13,NE,17857.0,16118.0
2015-07-08,14,NE,18572.0,16706.0
2015-07-08,15,NE,19338.0,17300.0
2015-07-08,16,NE,20077.0,17765.0
2015-07-08,17,NE,20625.0,18368.0
2015-07-08,18,NE,21114.0,18943.0
2015-07-08,19,NE,21407.0,19094.0
2015-07-08,20,NE,21497.0,19047.0
2015-07-08,21,NE,21512.0,19490.0
2015-07-08,22,NE,21340.0,19477.0
2015-07-08,23,NE,20865.0,18550.0
2015-07-09,0,NE,20138.0,17939.0
2015-07-09,1,NE,19668.0,17736.0
2015-07-09,2,NE,18789.0,17004.0
2015-07-09,3,NE,16971.0,15436.0
2015-07-09,4,NE,15323.0,13825.0
2015-07-09,5,NE,14004.0,12775.0
2015-07-09,6,NE,13562.0,12346.0
2015-07-09,7,NE,13381.0,11838.0
2015-07-09,8,NE,13019.0,11965.0
2015-07-09,9,NE,13025.0,12049.0
2015-07-09,10,NE,13505.0,12698.0
2015-07-09,11,NE,13941.0,13446.0
2015-07-09,12,NE,14967.0,14554.0
2015-07-09,13,NE,15762.0,15182.0
2015-07-09,14,NE,16240.0,15280.0
2015-07-09,15,NE,16666.0,15486.0
2015-07-09,16,NE,16952.0,15730.0
2015-07-09,17,NE,17145.0,15777.0
2015-07-09,18,NE,17508.0,16013.0
2015-07-09,19,NE,17663.0,15994.0
2015-07-09,20,NE,17724.0,15982.0
2015-07-09,21,NE,17799.0,15973.0
2015-07-09,22,NE,17693.0,15768.0
2015-07-09,23,NE,17350.0,15692.0
2015-07-10,0,NE,17043.0,15512.0
2015-07-10,1,NE,16991.0,15525.0
2015-07-10,2,NE,16392.0,15166.0
2015-07-10,3,NE,15007.0,13610.0
2015-07-10,4,NE,13574.0,12351.0
2015-07-10,5,NE,12940.0,11437.0
2015-07-10,6,NE,12637.0,11388.0
2015-07-10,7,NE,12559.0,11441.0
2015-07-10,8,NE,12417.0,11242.0
2015-07-10,9,NE,12516.0,11273.0
2015-07-10,10,NE,13077.0,11848.0
2015-07-10,11,NE,13712.0,12770.0
2015-07-10,12,NE,14813.0,13561.0
2015-07-10,13,NE,15615.0,14395.0
2015-07-10,14,NE,16253.0,15075.0
2015-07-10,15,NE,16819.0,15399.0
2015-07-10,16,NE,17349.0,15903.0
2015-07-10,17,NE,17648.0,16197.0
2015-07-10,18,NE,17963.0,16553.0
2015-07-10,19,NE,18197.0,16786.0
2015-07-10,20,NE,18431.0,16996.0
2015-07-10,21,NE,18666.0,17217.0
2015-07-10,22,NE,18688.0,17227.0
2015-07-10,23,NE,18296.0,16671.0
2015-07-11,0,NE,17663.0,15960.0
2015-07-11,1,NE,17255.0,15440.0
2015-07-11,2,NE,16814.0,15142.0
2015-07-11,3,NE,15499.0,13984.0
2015-07-11,4,NE,14234.0,13134.0
2015-07-11,5,NE,12817.0,11311.0
2015-07-11,6,NE,11882.0,10885.0
2015-07-11,7,NE,11890.0,10622.0
2015-07-11,8,NE,12001.0,10447.0
2015-07-11,9,NE,11966.0,10466.0
2015-07-11,10,NE,11762.0,10458.0
2015-07-11,11,NE,12048.0,10510.0
2015-07-11,12,NE,12524.0,11312.0
2015-07-11,13,NE,13772.0,12181.0
2015-07-11,14,NE,14857.0,13351.0
2015-07-11,15,NE,15700.0,13865.0
2015-07-11,16,NE,16345.0,14395.0
2015-07-11,17,NE,16781.0,14947.0
2015-07-11,18,NE,17103.0,15059.0
2015-07-11,19,NE,17407.0,15329.0
2015-07-11,20,NE,17806.0,15558.0
2015-07-11,21,NE,18196.0,16019.0
2015-07-11,22,NE,18480.0,16214.0
2015-07-11,23,NE,18400.0,15862.0
2015-07-12,0,NE,17888.0,15299.0
2015-07-12,1,NE,17515.0,15126.0
2015-07-12,2,NE,17081.0,14891.0
2015-07-12,3,NE,15884.0,13583.0
2015-07-12,4,NE,14587.0,12499.0
2015-07-12,5,NE,13361.0,11573.0
2015-07-12,6,NE,12462.0,11187.0
2015-07-12,7,NE,12165.0,11096.0
2015-07-12,8,NE,12151.0,10739.0
2015-07-12,9,NE,12149.0,10653.0
2015-07-12,10,NE,11991.0,10413.0
2015-07-12,11,NE,12480.0,10729.0
2015-07-12,12,NE,13251.0,11611.0
2015-07-12,13,NE,14056.0,12158.0
2015-07-12,14,NE,14866.0,12732.0
2015-07-12,15,NE,16020.0,13660.0
2015-07-12,16,NE,17041.0,14379.0
2015-07-12,17,NE,17832.0,15096.0
2015-07-12,18,NE,18371.0,15483.0
2015-07-12,19,NE,18827.0,15902.0
2015-07-12,20,NE,19319.0,16484.0
2015-07-12,21,NE,19763.0,16882.0
2015-07-12,22,NE,20069.0,17059.0
2015-07-12,23,NE,19963.0,16716.0
2015-07-13,0,NE,19591.0,16312.0
2015-07-13,1,NE,19468.0,16705.0
2015-07-13,2,NE,19004.0,16719.0
2015-07-13,3,NE,17433.0,14897.0
2015-07-13,4,NE,15685.0,13479.0
2015-07-13,5,NE,14398.0,12387.0
2015-07-13,6,NE,13699.0,11911.0
2015-07-13,7,NE,13808.0,12041.0
2015-07-13,8,NE,13584.0,11845.0
2015-07-13,9,NE,13672.0,11922.0
2015-07-13,10,NE,14027.0,12110.0
2015-07-13,11,NE,14903.0,12757.0
2015-07-13,12,NE,16424.0,13924.0
2015-07-13,13,NE,17567.0,15239.0
2015-07-13,14,NE,18480.0,16335.0
2015-07-13,15,NE,19336.0,17275.0
2015-07-13,16,NE,20003.0,18025.0
2015-07-13,17,NE,20500.0,18586.0
2015-07-13,18,NE,20915.0,19144.0
2015-07-13,19,NE,20990.0,19519.0
2015-07-13,20,NE,20975.0,19125.0
2015-07-13,21,NE,21027.0,19190.0
2015-07-13,22,NE,20950.0,18862.0
2015-07-13,23,NE,20481.0,18014.0
2015-07-14,0,NE,19759.0,17611.0
2015-07-14,1,NE,19266.0,16951.0
2015-07-14,2,NE,18457.0,16151.0
2015-07-14,3,NE,16655.0,14601.0
2015-07-14,4,NE,14902.0,12891.0
2015-07-14,5,NE,13601.0,11977.0
2015-07-14,6,NE,13335.0,11940.0
2015-07-14,7,NE,13262.0,11811.0
2015-07-14,8,NE,13293.0,11518.0
2015-07-14,9,NE,13456.0,11773.0
2015-07-14,10,NE,14058.0,12073.0
2015-07-14,11,NE,14655.0,12688.0
2015-07-14,12,NE,16011.0,13908.0
2015-07-14,13,NE,17114.0,15262.0
2015-07-14,14,NE,17975.0,16204.0
2015-07-14,15,NE,18632.0,16722.0
2015-07-14,16,NE,18972.0,16943.0
2015-07-14,17,NE,19170.0,17185.0
2015-07-14,18,NE,19616.0,17325.0
2015-07-14,19,NE,19905.0,17573.0
2015-07-14,20,NE,19930.0,17536.0
2015-07-14,21,NE,19759.0,17413.0
2015-07-14,22,NE,19637.0,17061.0
2015-07-14,23,NE,19536.0,17178.0
2015-07-15,0,NE,19221.0,17100.0
2015-07-15,1,NE,19165.0,17116.0
2015-07-15,2,NE,18545.0,16120.0
2015-07-15,3,NE,17080.0,14406.0
2015-07-15,4,NE,15631.0,13332.0
2015-07-15,5,NE,14560.0,12432.0
2015-07-15,6,NE,14361.0,12089.0
2015-07-15,7,NE,14373.0,11831.0
2015-07-15,8,NE,14277.0,11712.0
2015-07-15,9,NE,14405.0,11910.0
2015-07-15,10,NE,14846.0,12546.0
2015-07-15,11,NE,15716.0,13303.0
2015-07-15,12,NE,16837.0,14721.0
2015-07-15,13,NE,17893.0,15895.0
2015-07-15,14,NE,18763.0,16561.0
2015-07-15,15,NE,19580.0,16895.0
2015-07-15,16,NE,20169.0,17314.0
2015-07-15,17,NE,20539.0,17501.0
2015-07-15,18,NE,20904.0,17827.0
2015-07-15,19,NE,20974.0,17949.0
2015-07-15,20,NE,20839.0,17631.0
2015-07-15,21,NE,20668.0,17702.0
2015-07-15,22,NE,20289.0,17432.0
2015-07-15,23,NE,19627.0,17092.0
2015-07-16,0,NE,18847.0,16216.0
2015-07-16,1,NE,18333.0,15852.0
2015-07-16,2,NE,17428.0,15126.0
2015-07-16,3,NE,15874.0,13645.0
2015-07-16,4,NE,14342.0,12310.0
2015-07-16,5,NE,13540.0,11257.0
2015-07-16,6,NE,13094.0,10836.0
2015-07-16,7,NE,12970.0,10573.0
2015-07-16,8,NE,12754.0,10381.0
2015-07-16,9,NE,12799.0,10326.0
2015-07-16,10,NE,13168.0,10903.0
2015-07-16,11,NE,13305.0,11038.0
2015-07-16,12,NE,14393.0,12229.0
2015-07-16,13,NE,14873.0,13027.0
2015-07-16,14,NE,15319.0,13131.0
2015-07-16,15,NE,15914.0,13648.0
2015-07-16,16,NE,15955.0,14012.0
2015-07-16,17,NE,16079.0,13999.0
2015-07-16,18,NE,16325.0,14207.0
2015-07-16,19,NE,16503.0,14424.0
2015-07-16,20,NE,16698.0,15021.0
2015-07-16,21,NE,16981.0,15198.0
2015-07-16,22,NE,17119.0,15478.0
2015-07-16,23,NE,16892.0,15234.0
2015-07-17,0,NE,16410.0,14492.0
2015-07-17,1,NE,16191.0,14398.0
2015-07-17,2,NE,15734.0,14057.0
2015-07-17,3,NE,14338.0,12359.0
2015-07-17,4,NE,12918.0,10925.0
2015-07-17,5,NE,12039.0,10250.0
2015-07-17,6,NE,11355.0,10005.0
2015-07-17,7,NE,11490.0,9991.0
2015-07-17,8,NE,11340.0,9801.0
2015-07-17,9,NE,11473.0,9816.0
2015-07-17,10,NE,11723.0,10000.0
2015-07-17,11,NE,12765.0,10882.0
