Date,Hour,region,Demand,Net generation
2015-07-01,0,NY,20971.0,17865.0
2015-07-01,1,NY,20971.0,17865.0
2015-07-01,2,NY,20971.0,17865.0
2015-07-01,3,NY,20971.0,17865.0
2015-07-01,4,NY,20971.0,17865.0
2015-07-01,5,NY,16891.0,14444.0
2015-07-01,6,NY,16027.0,13809.0
2015-07-01,7,NY,15541.0,13435.0
2015-07-01,8,NY,15283.0,13144.0
2015-07-01,9,NY,15304.0,13147.0
2015-07-01,10,NY,15874.0,13771.0
2015-07-01,11,NY,17161.0,14635.0
2015-07-01,12,NY,18690.0,15545.0
2015-07-01,13,NY,19956.0,16448.0
2015-07-01,14,NY,20971.0,17865.0
2015-07-01,15,NY,21849.0,18554.0
2015-07-01,16,NY,22471.0,19391.0
2015-07-01,17,NY,22809.0,19766.0
2015-07-01,18,NY,23260.0,20204.0
2015-07-01,19,NY,23606.0,20246.0
2015-07-01,20,NY,23778.0,20585.0
2015-07-01,21,NY,23804.0,20089.0
2015-07-01,22,NY,23664.0,19849.0
2015-07-01,23,NY,22984.0,19256.0
2015-07-02,0,NY,22262.0,18691.0
2015-07-02,1,NY,21746.0,18233.0
2015-07-02,2,NY,21525.0,18252.0
2015-07-02,3,NY,20149.0,16872.0
2015-07-02,4,NY,18493.0,15582.0
2015-07-02,5,NY,17090.0,14478.0
2015-07-02,6,NY,16052.0,13546.0
2015-07-02,7,NY,15356.0,13247.0
2015-07-02,8,NY,14936.0,13103.0
2015-07-02,9,NY,14884.0,13241.0
2015-07-02,10,NY,15314.0,13337.0
2015-07-02,11,NY,16591.0,14106.0
2015-07-02,12,NY,18271.0,15132.0
2015-07-02,13,NY,19470.0,16023.0
2015-07-02,14,NY,20364.0,16564.0
2015-07-02,15,NY,21181.0,16964.0
2015-07-02,16,NY,21714.0,17718.0
2015-07-02,17,NY,22057.0,18076.0
2015-07-02,18,NY,22313.0,18184.0
2015-07-02,19,NY,22337.0,18265.0
2015-07-02,20,NY,22136.0,18217.0
2015-07-02,21,NY,21972.0,18709.0
2015-07-02,22,NY,21717.0,18841.0
2015-07-02,23,NY,21071.0,17899.0
2015-07-03,0,NY,20473.0,17446.0
2015-07-03,1,NY,20195.0,17193.0
2015-07-03,2,NY,19896.0,17085.0
2015-07-03,3,NY,18717.0,15774.0
2015-07-03,4,NY,17352.0,14715.0
2015-07-03,5,NY,16108.0,13636.0
2015-07-03,6,NY,15179.0,12688.0
2015-07-03,7,NY,14519.0,12247.0
2015-07-03,8,NY,14107.0,11948.0
2015-07-03,9,NY,13947.0,11990.0
2015-07-03,10,NY,13996.0,12253.0
2015-07-03,11,NY,14541.0,12544.0
2015-07-03,12,NY,15620.0,12834.0
2015-07-03,13,NY,16746.0,13737.0
2015-07-03,14,NY,17752.0,14547.0
2015-07-03,15,NY,18535.0,15235.0
2015-07-03,16,NY,19062.0,15999.0
2015-07-03,17,NY,19430.0,16407.0
2015-07-03,18,NY,19745.0,16529.0
2015-07-03,19,NY,20061.0,16990.0
2015-07-03,20,NY,20435.0,17068.0
2015-07-03,21,NY,20675.0,17246.0
2015-07-03,22,NY,20585.0,17023.0
2015-07-03,23,NY,20138.0,16725.0
2015-07-04,0,NY,19525.0,16253.0
2015-07-04,1,NY,19172.0,16137.0
2015-07-04,2,NY,19034.0,16080.0
2015-07-04,3,NY,18112.0,14898.0
2015-07-04,4,NY,16956.0,14331.0
2015-07-04,5,NY,15872.0,13594.0
2015-07-04,6,NY,15036.0,12938.0
2015-07-04,7,NY,14479.0,12735.0
2015-07-04,8,NY,14118.0,12524.0
2015-07-04,9,NY,13930.0,12278.0
2015-07-04,10,NY,13891.0,12483.0
2015-07-04,11,NY,14069.0,12761.0
2015-07-04,12,NY,14758.0,13317.0
2015-07-04,13,NY,15804.0,13915.0
2015-07-04,14,NY,16822.0,14671.0
2015-07-04,15,NY,17572.0,15598.0
2015-07-04,16,NY,17963.0,15773.0
2015-07-04,17,NY,18211.0,16104.0
2015-07-04,18,NY,18192.0,16164.0
2015-07-04,19,NY,18058.0,16134.0
2015-07-04,20,NY,17974.0,16295.0
2015-07-04,21,NY,18087.0,16531.0
2015-07-04,22,NY,18168.0,16424.0
2015-07-04,23,NY,17927.0,15848.0
2015-07-05,0,NY,17503.0,15557.0
2015-07-05,1,NY,17246.0,15461.0
2015-07-05,2,NY,17159.0,15184.0
2015-07-05,3,NY,16777.0,15081.0
2015-07-05,4,NY,16141.0,14161.0
2015-07-05,5,NY,15281.0,13526.0
2015-07-05,6,NY,14584.0,12757.0
2015-07-05,7,NY,14057.0,12352.0
2015-07-05,8,NY,13744.0,12156.0
2015-07-05,9,NY,13582.0,12140.0
2015-07-05,10,NY,13440.0,12026.0
2015-07-05,11,NY,13566.0,11867.0
2015-07-05,12,NY,14354.0,12511.0
2015-07-05,13,NY,15567.0,13750.0
2015-07-05,14,NY,16691.0,14458.0
2015-07-05,15,NY,17785.0,15491.0
2015-07-05,16,NY,18706.0,16480.0
2015-07-05,17,NY,19403.0,17006.0
2015-07-05,18,NY,19949.0,17663.0
2015-07-05,19,NY,20348.0,17668.0
2015-07-05,20,NY,20764.0,17830.0
2015-07-05,21,NY,21148.0,18027.0
2015-07-05,22,NY,21343.0,18183.0
2015-07-05,23,NY,21123.0,17727.0
2015-07-06,0,NY,20670.0,17658.0
2015-07-06,1,NY,20539.0,17603.0
2015-07-06,2,NY,20580.0,17822.0
2015-07-06,3,NY,19517.0,16879.0
2015-07-06,4,NY,18130.0,15136.0
2015-07-06,5,NY,16923.0,14136.0
2015-07-06,6,NY,16095.0,13710.0
2015-07-06,7,NY,15537.0,13237.0
2015-07-06,8,NY,15261.0,12742.0
2015-07-06,9,NY,15325.0,12946.0
2015-07-06,10,NY,15803.0,13475.0
2015-07-06,11,NY,17065.0,14219.0
