Date,Hour,region,Demand,Net generation
2015-07-01,0,TEX,41578.0,41823.0
2015-07-01,1,TEX,41578.0,41823.0
2015-07-01,2,TEX,41578.0,41823.0
2015-07-01,3,TEX,41578.0,41823.0
2015-07-01,4,TEX,41578.0,41823.0
2015-07-01,5,TEX,41578.0,41823.0
2015-07-01,6,TEX,37456.0,37462.0
2015-07-01,7,TEX,35119.0,35124.0
2015-07-01,8,TEX,33638.0,33642.0
2015-07-01,9,TEX,32798.0,32805.0
2015-07-01,10,TEX,32805.0,32812.0
2015-07-01,11,TEX,34121.0,34128.0
2015-07-01,12,TEX,35894.0,35895.0
2015-07-01,13,TEX,37403.0,37406.0
2015-07-01,14,TEX,39964.0,40209.0
2015-07-01,15,TEX,43192.0,43437.0
2015-07-01,16,TEX,46593.0,46848.0
2015-07-01,17,TEX,48829.0,49083.0
2015-07-01,18,TEX,50231.0,50464.0
2015-07-01,19,TEX,51645.0,52029.0
2015-07-01,20,TEX,52622.0,53010.0
2015-07-01,21,TEX,53774.0,54196.0
2015-07-01,22,TEX,53665.0,54085.0
2015-07-01,23,TEX,52925.0,53215.0
2015-07-02,0,TEX,51756.0,52041.0
2015-07-02,1,TEX,50171.0,50404.0
2015-07-02,2,TEX,48655.0,48887.0
2015-07-02,3,TEX,47667.0,47899.0
2015-07-02,4,TEX,44629.0,44872.0
2015-07-02,5,TEX,40754.0,40999.0
2015-07-02,6,TEX,37547.0,37555.0
2015-07-02,7,TEX,35199.0,35205.0
2015-07-02,8,TEX,33637.0,33702.0
2015-07-02,9,TEX,32759.0,32883.0
2015-07-02,10,TEX,32536.0,32844.0
2015-07-02,11,TEX,33527.0,33556.0
2015-07-02,12,TEX,35196.0,35240.0
2015-07-02,13,TEX,36637.0,36697.0
2015-07-02,14,TEX,39221.0,39521.0
2015-07-02,15,TEX,42398.0,42700.0
2015-07-02,16,TEX,45675.0,45975.0
2015-07-02,17,TEX,48667.0,48985.0
2015-07-02,18,TEX,51260.0,51529.0
2015-07-02,19,TEX,53719.0,54002.0
2015-07-02,20,TEX,55525.0,55640.0
2015-07-02,21,TEX,56836.0,56874.0
2015-07-02,22,TEX,57505.0,57540.0
2015-07-02,23,TEX,56807.0,56845.0
2015-07-03,0,TEX,55044.0,55287.0
2015-07-03,1,TEX,52776.0,53008.0
2015-07-03,2,TEX,50986.0,51218.0
2015-07-03,3,TEX,49845.0,50078.0
2015-07-03,4,TEX,46817.0,47060.0
2015-07-03,5,TEX,43307.0,43555.0
2015-07-03,6,TEX,40173.0,40177.0
2015-07-03,7,TEX,37954.0,37958.0
2015-07-03,8,TEX,36353.0,36358.0
2015-07-03,9,TEX,35346.0,35352.0
2015-07-03,10,TEX,34981.0,34987.0
2015-07-03,11,TEX,35402.0,35410.0
2015-07-03,12,TEX,35919.0,35923.0
2015-07-03,13,TEX,36447.0,36455.0
2015-07-03,14,TEX,38820.0,39118.0
2015-07-03,15,TEX,42009.0,42308.0
2015-07-03,16,TEX,45201.0,45498.0
2015-07-03,17,TEX,48116.0,48390.0
2015-07-03,18,TEX,50501.0,50791.0
2015-07-03,19,TEX,52232.0,52522.0
2015-07-03,20,TEX,53443.0,53735.0
2015-07-03,21,TEX,54180.0,54517.0
2015-07-03,22,TEX,54510.0,54852.0
2015-07-03,23,TEX,54028.0,54422.0
2015-07-04,0,TEX,52732.0,52984.0
2015-07-04,1,TEX,50673.0,50905.0
2015-07-04,2,TEX,49028.0,49260.0
2015-07-04,3,TEX,47940.0,48176.0
2015-07-04,4,TEX,45385.0,45798.0
2015-07-04,5,TEX,42470.0,42715.0
2015-07-04,6,TEX,39566.0,39583.0
2015-07-04,7,TEX,37379.0,37379.0
2015-07-04,8,TEX,35757.0,35760.0
2015-07-04,9,TEX,34698.0,34704.0
2015-07-04,10,TEX,34057.0,34064.0
2015-07-04,11,TEX,33939.0,33948.0
2015-07-04,12,TEX,33910.0,33967.0
2015-07-04,13,TEX,34456.0,34513.0
2015-07-04,14,TEX,37333.0,37386.0
2015-07-04,15,TEX,41075.0,41124.0
2015-07-04,16,TEX,45018.0,45063.0
2015-07-04,17,TEX,48470.0,48510.0
2015-07-04,18,TEX,51173.0,51099.0
2015-07-04,19,TEX,52980.0,52781.0
2015-07-04,20,TEX,54226.0,54184.0
2015-07-04,21,TEX,54755.0,54405.0
2015-07-04,22,TEX,54722.0,54622.0
2015-07-04,23,TEX,54308.0,54223.0
2015-07-05,0,TEX,52974.0,53005.0
2015-07-05,1,TEX,50742.0,50704.0
