Date,Hour,region,Demand,Net generation
2015-07-01,0,CAL,37606.5,30880.0
2015-07-01,1,CAL,37606.5,30880.0
2015-07-01,2,CAL,37606.5,30880.0
2015-07-01,3,CAL,37606.5,30880.0
2015-07-01,4,CAL,37606.5,30880.0
2015-07-01,5,CAL,37606.5,30880.0
2015-07-01,6,CAL,37606.5,30880.0
2015-07-01,7,CAL,37606.5,30880.0
2015-07-01,8,CAL,38210.0,31005.0
2015-07-01,9,CAL,35171.0,28760.0
2015-07-01,10,CAL,33243.0,27179.0
2015-07-01,11,CAL,31955.0,25660.0
2015-07-01,12,CAL,31199.0,24961.0
2015-07-01,13,CAL,31540.0,25288.0
2015-07-01,14,CAL,32551.0,25973.0
2015-07-01,15,CAL,34483.0,28342.0
2015-07-01,16,CAL,37003.0,30755.0
2015-07-01,17,CAL,39274.0,32737.0
2015-07-01,18,CAL,41265.0,34895.0
2015-07-01,19,CAL,43042.0,36439.0
2015-07-01,20,CAL,44869.0,38107.0
2015-07-01,21,CAL,46173.0,40396.0
2015-07-01,22,CAL,47600.0,41162.0
2015-07-01,23,CAL,48083.0,42021.0
2015-07-02,0,CAL,48300.0,42130.0
2015-07-02,1,CAL,48136.0,42646.0
2015-07-02,2,CAL,47343.0,42376.0
2015-07-02,3,CAL,46165.0,40493.0
2015-07-02,4,CAL,45380.0,39401.0
2015-07-02,5,CAL,44996.0,38629.0
2015-07-02,6,CAL,43173.0,37117.0
2015-07-02,7,CAL,39545.0,31806.0
2015-07-02,8,CAL,36073.0,28825.0
2015-07-02,9,CAL,33603.0,26405.0
2015-07-02,10,CAL,31746.0,24793.0
2015-07-02,11,CAL,30618.0,23640.0
2015-07-02,12,CAL,30157.0,23898.0
2015-07-02,13,CAL,30920.0,23960.0
2015-07-02,14,CAL,32074.0,25283.0
2015-07-02,15,CAL,34150.0,27519.0
2015-07-02,16,CAL,36828.0,30194.0
2015-07-02,17,CAL,38982.0,32527.0
2015-07-02,18,CAL,40598.0,34138.0
2015-07-02,19,CAL,42187.0,35914.0
2015-07-02,20,CAL,43556.0,37778.0
2015-07-02,21,CAL,45060.0,39641.0
2015-07-02,22,CAL,46767.0,41943.0
2015-07-02,23,CAL,48086.0,43823.0
2015-07-03,0,CAL,49005.0,45083.0
2015-07-03,1,CAL,49266.0,45571.0
2015-07-03,2,CAL,48231.0,44268.0
2015-07-03,3,CAL,46540.0,42536.0
2015-07-03,4,CAL,44693.0,40728.0
2015-07-03,5,CAL,43601.0,37862.0
2015-07-03,6,CAL,41628.0,35655.0
2015-07-03,7,CAL,38382.0,31196.0
2015-07-03,8,CAL,35140.0,28258.0
2015-07-03,9,CAL,32616.0,25310.0
2015-07-03,10,CAL,30689.0,23207.0
2015-07-03,11,CAL,29373.0,21897.0
2015-07-03,12,CAL,28936.0,21844.0
2015-07-03,13,CAL,28960.0,21891.0
2015-07-03,14,CAL,29277.0,21979.0
2015-07-03,15,CAL,30054.0,23037.0
2015-07-03,16,CAL,31213.0,24920.0
2015-07-03,17,CAL,33105.0,26537.0
2015-07-03,18,CAL,34797.0,27987.0
2015-07-03,19,CAL,36371.0,29950.0
2015-07-03,20,CAL,37921.0,31421.0
2015-07-03,21,CAL,39590.0,33528.0
2015-07-03,22,CAL,41542.0,35519.0
2015-07-03,23,CAL,43409.0,37610.0
2015-07-04,0,CAL,44932.0,39458.0
2015-07-04,1,CAL,45905.0,40168.0
2015-07-04,2,CAL,45878.0,39381.0
2015-07-04,3,CAL,44768.0,37792.0
2015-07-04,4,CAL,43090.0,36004.0
2015-07-04,5,CAL,41948.0,33567.0
2015-07-04,6,CAL,40172.0,31962.0
2015-07-04,7,CAL,37393.0,28864.0
2015-07-04,8,CAL,34368.0,26689.0
2015-07-04,9,CAL,31999.0,24064.0
2015-07-04,10,CAL,30200.0,22506.0
2015-07-04,11,CAL,29232.0,21854.0
2015-07-04,12,CAL,28404.0,20889.0
2015-07-04,13,CAL,28036.0,20647.0
2015-07-04,14,CAL,27930.0,20417.0
2015-07-04,15,CAL,27905.0,20368.0
2015-07-04,16,CAL,29112.0,22084.0
2015-07-04,17,CAL,31015.0,23779.0
2015-07-04,18,CAL,32867.0,26065.0
2015-07-04,19,CAL,34462.0,27465.0
2015-07-04,20,CAL,36236.0,29190.0
2015-07-04,21,CAL,37883.0,31310.0
2015-07-04,22,CAL,39236.0,32744.0
2015-07-04,23,CAL,40293.0,33814.0
2015-07-05,0,CAL,41210.0,34539.0
2015-07-05,1,CAL,41548.0,35267.0
2015-07-05,2,CAL,41399.0,34694.0
2015-07-05,3,CAL,40462.0,33357.0
2015-07-05,4,CAL,38824.0,31332.0
2015-07-05,5,CAL,37556.0,29304.0
2015-07-05,6,CAL,36007.0,27531.0
2015-07-05,7,CAL,34690.0,25870.0
2015-07-05,8,CAL,32777.0,24930.0
2015-07-05,9,CAL,30763.0,22913.0
2015-07-05,10,CAL,29095.0,21847.0
2015-07-05,11,CAL,27905.0,20465.0
2015-07-05,12,CAL,27357.0,19749.0
2015-07-05,13,CAL,27196.0,19477.0
2015-07-05,14,CAL,27098.0,19329.0
2015-07-05,15,CAL,27029.0,19188.0
2015-07-05,16,CAL,27901.0,20737.0
2015-07-05,17,CAL,29360.0,22368.0
2015-07-05,18,CAL,30887.0,24039.0
2015-07-05,19,CAL,32155.0,25402.0
2015-07-05,20,CAL,33455.0,26864.0
2015-07-05,21,CAL,34474.0,28136.0
2015-07-05,22,CAL,35307.0,28657.0
2015-07-05,23,CAL,36579.0,29969.0
2015-07-06,0,CAL,38071.0,31579.0
2015-07-06,1,CAL,39010.0,32665.0
2015-07-06,2,CAL,39405.0,33087.0
2015-07-06,3,CAL,39064.0,32320.0
2015-07-06,4,CAL,38220.0,30999.0
2015-07-06,5,CAL,37819.0,30146.0
2015-07-06,6,CAL,36473.0,29105.0
2015-07-06,7,CAL,33910.0,26627.0
