Date,Hour,region,Demand,Net generation
2015-07-01,0,MIDA,93093.0,90996.0
2015-07-01,1,MIDA,93093.0,90996.0
2015-07-01,2,MIDA,93093.0,90996.0
2015-07-01,3,MIDA,93093.0,90996.0
2015-07-01,4,MIDA,93093.0,90996.0
2015-07-01,5,MIDA,84024.0,83944.0
2015-07-01,6,MIDA,79791.0,80091.0
2015-07-01,7,MIDA,76760.0,77994.0
2015-07-01,8,MIDA,74931.0,76820.0
2015-07-01,9,MIDA,74368.0,76268.0
2015-07-01,10,MIDA,77156.0,79049.0
2015-07-01,11,MIDA,81032.0,82202.0
2015-07-01,12,MIDA,86061.0,85000.0
2015-07-01,13,MIDA,89560.0,88002.0
2015-07-01,14,MIDA,93093.0,90996.0
2015-07-01,15,MIDA,97580.0,95479.0
2015-07-01,16,MIDA,101457.0,98933.0
2015-07-01,17,MIDA,104918.0,102025.0
2015-07-01,18,MIDA,108219.0,105373.0
2015-07-01,19,MIDA,110428.0,107497.0
2015-07-01,20,MIDA,112143.0,108858.0
2015-07-01,21,MIDA,113224.0,110553.0
2015-07-01,22,MIDA,112936.0,110206.0
2015-07-01,23,MIDA,110545.0,108167.0
2015-07-02,0,MIDA,106560.0,104340.0
2015-07-02,1,MIDA,103392.0,100959.0
2015-07-02,2,MIDA,101862.0,99746.0
2015-07-02,3,MIDA,96385.0,95179.0
2015-07-02,4,MIDA,89387.0,89613.0
2015-07-02,5,MIDA,82916.0,82864.0
2015-07-02,6,MIDA,78807.0,79139.0
2015-07-02,7,MIDA,75981.0,76375.0
2015-07-02,8,MIDA,74349.0,75557.0
2015-07-02,9,MIDA,74516.0,75423.0
2015-07-02,10,MIDA,76778.0,76847.0
2015-07-02,11,MIDA,79549.0,79578.0
2015-07-02,12,MIDA,83459.0,82349.0
2015-07-02,13,MIDA,87532.0,86403.0
2015-07-02,14,MIDA,90936.0,90079.0
2015-07-02,15,MIDA,94310.0,93685.0
2015-07-02,16,MIDA,96771.0,95847.0
2015-07-02,17,MIDA,98424.0,97633.0
2015-07-02,18,MIDA,99845.0,99145.0
2015-07-02,19,MIDA,100168.0,99420.0
2015-07-02,20,MIDA,100101.0,99526.0
2015-07-02,21,MIDA,99948.0,98845.0
2015-07-02,22,MIDA,99598.0,98491.0
2015-07-02,23,MIDA,97607.0,96738.0
2015-07-03,0,MIDA,94843.0,93718.0
2015-07-03,1,MIDA,92847.0,91410.0
2015-07-03,2,MIDA,92013.0,90806.0
2015-07-03,3,MIDA,86977.0,86594.0
2015-07-03,4,MIDA,80446.0,81458.0
2015-07-03,5,MIDA,75620.0,76980.0
2015-07-03,6,MIDA,72699.0,75107.0
2015-07-03,7,MIDA,70193.0,72794.0
2015-07-03,8,MIDA,68542.0,71093.0
2015-07-03,9,MIDA,68049.0,70670.0
2015-07-03,10,MIDA,68821.0,70659.0
2015-07-03,11,MIDA,69801.0,71115.0
2015-07-03,12,MIDA,71654.0,72074.0
2015-07-03,13,MIDA,74843.0,75711.0
2015-07-03,14,MIDA,79828.0,80631.0
2015-07-03,15,MIDA,84252.0,83567.0
2015-07-03,16,MIDA,87856.0,86706.0
2015-07-03,17,MIDA,91031.0,89772.0
2015-07-03,18,MIDA,93580.0,91820.0
2015-07-03,19,MIDA,95523.0,94001.0
2015-07-03,20,MIDA,97219.0,95807.0
2015-07-03,21,MIDA,97914.0,96683.0
2015-07-03,22,MIDA,97612.0,96405.0
2015-07-03,23,MIDA,95186.0,93776.0
2015-07-04,0,MIDA,91960.0,90747.0
2015-07-04,1,MIDA,90283.0,89203.0
2015-07-04,2,MIDA,89176.0,88730.0
2015-07-04,3,MIDA,85357.0,85176.0
2015-07-04,4,MIDA,80078.0,81130.0
2015-07-04,5,MIDA,75461.0,76331.0
2015-07-04,6,MIDA,71516.0,73573.0
2015-07-04,7,MIDA,69613.0,72813.0
2015-07-04,8,MIDA,69288.0,72179.0
2015-07-04,9,MIDA,68363.0,70356.0
2015-07-04,10,MIDA,68490.0,70223.0
2015-07-04,11,MIDA,68025.0,69499.0
2015-07-04,12,MIDA,68880.0,70178.0
2015-07-04,13,MIDA,71998.0,73431.0
2015-07-04,14,MIDA,77278.0,78020.0
2015-07-04,15,MIDA,81867.0,81731.0
2015-07-04,16,MIDA,85819.0,85787.0
2015-07-04,17,MIDA,88684.0,88629.0
2015-07-04,18,MIDA,90671.0,90555.0
2015-07-04,19,MIDA,91974.0,91498.0
2015-07-04,20,MIDA,93401.0,92865.0
2015-07-04,21,MIDA,94158.0,93819.0
2015-07-04,22,MIDA,93894.0,93797.0
2015-07-04,23,MIDA,92096.0,92062.0
2015-07-05,0,MIDA,88884.0,88787.0
2015-07-05,1,MIDA,85964.0,85975.0
2015-07-05,2,MIDA,84073.0,84739.0
2015-07-05,3,MIDA,81456.0,81749.0
2015-07-05,4,MIDA,78170.0,79026.0
2015-07-05,5,MIDA,73295.0,73342.0
2015-07-05,6,MIDA,69134.0,71002.0
2015-07-05,7,MIDA,66665.0,69028.0
2015-07-05,8,MIDA,66391.0,68959.0
2015-07-05,9,MIDA,66866.0,69222.0
2015-07-05,10,MIDA,66751.0,68482.0
2015-07-05,11,MIDA,66158.0,67372.0
2015-07-05,12,MIDA,66817.0,67693.0
2015-07-05,13,MIDA,70584.0,71439.0
2015-07-05,14,MIDA,76273.0,77124.0
2015-07-05,15,MIDA,81818.0,81906.0
2015-07-05,16,MIDA,87146.0,87060.0
2015-07-05,17,MIDA,91853.0,91669.0
2015-07-05,18,MIDA,95849.0,95102.0
2015-07-05,19,MIDA,99112.0,98243.0
2015-07-05,20,MIDA,101731.0,100541.0
2015-07-05,21,MIDA,104023.0,103058.0
2015-07-05,22,MIDA,105129.0,104148.0
2015-07-05,23,MIDA,104277.0,103370.0
2015-07-06,0,MIDA,101799.0,100935.0
2015-07-06,1,MIDA,100078.0,99232.0
2015-07-06,2,MIDA,99139.0,99048.0
2015-07-06,3,MIDA,94792.0,95800.0
2015-07-06,4,MIDA,88495.0,89946.0
2015-07-06,5,MIDA,83060.0,83435.0
2015-07-06,6,MIDA,78722.0,80046.0
2015-07-06,7,MIDA,76682.0,77850.0
2015-07-06,8,MIDA,75883.0,76904.0
2015-07-06,9,MIDA,75805.0,76813.0
2015-07-06,10,MIDA,77945.0,78803.0
2015-07-06,11,MIDA,81372.0,82287.0
2015-07-06,12,MIDA,87521.0,86822.0
