Date,Hour,region,Demand,Net generation
2015-07-01,0,SE,28775.5,31429.5
2015-07-01,1,SE,28775.5,31429.5
2015-07-01,2,SE,28775.5,31429.5
2015-07-01,3,SE,28775.5,31429.5
2015-07-01,4,SE,28775.5,31429.5
2015-07-01,5,SE,28775.5,31429.5
2015-07-01,6,SE,25245.0,25912.0
2015-07-01,7,SE,24516.0,25200.0
2015-07-01,8,SE,23765.0,24580.0
2015-07-01,9,SE,23554.0,24311.0
2015-07-01,10,SE,24063.0,24823.0
2015-07-01,11,SE,24476.0,25547.0
2015-07-01,12,SE,25137.0,27026.0
2015-07-01,13,SE,26149.0,28283.0
2015-07-01,14,SE,27802.0,30455.0
2015-07-01,15,SE,29749.0,32404.0
2015-07-01,16,SE,31656.0,34278.0
2015-07-01,17,SE,33554.0,36222.0
2015-07-01,18,SE,35574.0,38596.0
2015-07-01,19,SE,37352.0,40476.0
2015-07-01,20,SE,38253.0,41569.0
2015-07-01,21,SE,38457.0,41455.0
2015-07-01,22,SE,37670.0,40561.0
2015-07-01,23,SE,36110.0,38752.0
2015-07-02,0,SE,34463.0,37055.0
2015-07-02,1,SE,33016.0,35392.0
2015-07-02,2,SE,32436.0,34860.0
2015-07-02,3,SE,30526.0,32942.0
2015-07-02,4,SE,25966.0,27794.0
2015-07-02,5,SE,24382.0,25376.0
2015-07-02,6,SE,25405.0,26197.0
2015-07-02,7,SE,24441.0,25120.0
2015-07-02,8,SE,23722.0,24513.0
2015-07-02,9,SE,23570.0,24331.0
2015-07-02,10,SE,24142.0,24969.0
2015-07-02,11,SE,25254.0,26157.0
2015-07-02,12,SE,25606.0,27185.0
2015-07-02,13,SE,26837.0,29200.0
2015-07-02,14,SE,28617.0,31075.0
2015-07-02,15,SE,30704.0,33209.0
2015-07-02,16,SE,32679.0,35443.0
2015-07-02,17,SE,35050.0,37707.0
2015-07-02,18,SE,36607.0,39376.0
2015-07-02,19,SE,36970.0,40395.0
2015-07-02,20,SE,37294.0,40834.0
2015-07-02,21,SE,36682.0,40471.0
2015-07-02,22,SE,35534.0,39574.0
2015-07-02,23,SE,34082.0,38264.0
2015-07-03,0,SE,33854.0,36729.0
2015-07-03,1,SE,32893.0,35671.0
2015-07-03,2,SE,32696.0,35343.0
2015-07-03,3,SE,31136.0,33770.0
2015-07-03,4,SE,29258.0,30576.0
2015-07-03,5,SE,27287.0,28592.0
2015-07-03,6,SE,26340.0,27232.0
2015-07-03,7,SE,25546.0,26163.0
2015-07-03,8,SE,25067.0,25694.0
2015-07-03,9,SE,24860.0,25455.0
2015-07-03,10,SE,25023.0,25480.0
2015-07-03,11,SE,25056.0,25648.0
2015-07-03,12,SE,24837.0,25898.0
2015-07-03,13,SE,25895.0,27080.0
2015-07-03,14,SE,27107.0,28640.0
2015-07-03,15,SE,28865.0,31279.0
2015-07-03,16,SE,30071.0,32622.0
2015-07-03,17,SE,31427.0,34470.0
2015-07-03,18,SE,32654.0,36125.0
2015-07-03,19,SE,33542.0,37644.0
2015-07-03,20,SE,33780.0,37847.0
2015-07-03,21,SE,34110.0,38081.0
2015-07-03,22,SE,34267.0,38322.0
2015-07-03,23,SE,33907.0,37623.0
2015-07-04,0,SE,32909.0,35992.0
2015-07-04,1,SE,31791.0,34425.0
2015-07-04,2,SE,31403.0,34182.0
2015-07-04,3,SE,29839.0,32531.0
2015-07-04,4,SE,27061.0,28655.0
2015-07-04,5,SE,25369.0,26376.0
2015-07-04,6,SE,23677.0,24492.0
2015-07-04,7,SE,23098.0,23610.0
2015-07-04,8,SE,22359.0,23069.0
2015-07-04,9,SE,21889.0,22495.0
2015-07-04,10,SE,21857.0,22323.0
2015-07-04,11,SE,21422.0,21858.0
2015-07-04,12,SE,21095.0,21590.0
2015-07-04,13,SE,21946.0,22982.0
2015-07-04,14,SE,23607.0,25162.0
2015-07-04,15,SE,25689.0,28493.0
2015-07-04,16,SE,27400.0,30383.0
2015-07-04,17,SE,28777.0,31921.0
2015-07-04,18,SE,30074.0,32949.0
2015-07-04,19,SE,31491.0,34565.0
2015-07-04,20,SE,32012.0,35098.0
2015-07-04,21,SE,32146.0,35034.0
2015-07-04,22,SE,31894.0,34741.0
2015-07-04,23,SE,30848.0,33583.0
2015-07-05,0,SE,29154.0,31901.0
2015-07-05,1,SE,27697.0,30215.0
2015-07-05,2,SE,27076.0,29690.0
2015-07-05,3,SE,26104.0,28212.0
2015-07-05,4,SE,25142.0,26835.0
2015-07-05,5,SE,23701.0,24879.0
2015-07-05,6,SE,22155.0,23056.0
2015-07-05,7,SE,21484.0,22206.0
2015-07-05,8,SE,21007.0,21584.0
2015-07-05,9,SE,20719.0,21225.0
2015-07-05,10,SE,20645.0,20935.0
2015-07-05,11,SE,20373.0,20948.0
2015-07-05,12,SE,20339.0,21011.0
2015-07-05,13,SE,21542.0,22777.0
2015-07-05,14,SE,22982.0,24800.0
2015-07-05,15,SE,24761.0,27405.0
2015-07-05,16,SE,26216.0,29069.0
2015-07-05,17,SE,27659.0,30617.0
2015-07-05,18,SE,28757.0,31729.0
2015-07-05,19,SE,29499.0,32429.0
2015-07-05,20,SE,30060.0,33046.0
2015-07-05,21,SE,30467.0,33495.0
2015-07-05,22,SE,30694.0,33759.0
2015-07-05,23,SE,30650.0,33554.0
2015-07-06,0,SE,29867.0,32624.0
2015-07-06,1,SE,28888.0,31417.0
2015-07-06,2,SE,28859.0,31316.0
2015-07-06,3,SE,27399.0,29522.0
2015-07-06,4,SE,25136.0,26770.0
2015-07-06,5,SE,23391.0,24813.0
2015-07-06,6,SE,23658.0,24429.0
2015-07-06,7,SE,22892.0,23713.0
2015-07-06,8,SE,22776.0,23625.0
2015-07-06,9,SE,23037.0,23895.0
2015-07-06,10,SE,23582.0,24272.0
2015-07-06,11,SE,24088.0,24825.0
2015-07-06,12,SE,24865.0,26280.0
2015-07-06,13,SE,26258.0,28166.0
2015-07-06,14,SE,27552.0,29793.0
2015-07-06,15,SE,28614.0,31444.0
2015-07-06,16,SE,30690.0,33426.0
2015-07-06,17,SE,32666.0,35475.0
2015-07-06,18,SE,37594.0,40350.0
2015-07-06,19,SE,37123.0,40076.0
2015-07-06,20,SE,38259.0,41474.0
2015-07-06,21,SE,38818.0,42017.0
2015-07-06,22,SE,39704.0,42221.0
2015-07-06,23,SE,38704.0,41233.0
2015-07-07,0,SE,37670.0,40508.0
2015-07-07,1,SE,35895.0,38838.0
2015-07-07,2,SE,35148.0,37933.0
2015-07-07,3,SE,32876.0,35622.0
2015-07-07,4,SE,30027.0,32152.0
2015-07-07,5,SE,27880.0,32414.0
2015-07-07,6,SE,26448.0,27558.0
2015-07-07,7,SE,25520.0,26470.0
2015-07-07,8,SE,24621.0,25590.0
2015-07-07,9,SE,24264.0,25184.0
2015-07-07,10,SE,24692.0,25351.0
2015-07-07,11,SE,25470.0,26195.0
2015-07-07,12,SE,26147.0,27454.0
2015-07-07,13,SE,27743.0,29647.0
2015-07-07,14,SE,29881.0,31960.0
2015-07-07,15,SE,32669.0,35299.0
2015-07-07,16,SE,35222.0,37553.0
2015-07-07,17,SE,37129.0,40077.0
2015-07-07,18,SE,39277.0,42364.0
2015-07-07,19,SE,40151.0,43442.0
2015-07-07,20,SE,41087.0,44696.0
2015-07-07,21,SE,41336.0,45235.0
2015-07-07,22,SE,41497.0,44953.0
2015-07-07,23,SE,40912.0,46767.0
2015-07-08,0,SE,39570.0,42085.0
2015-07-08,1,SE,38191.0,40451.0
2015-07-08,2,SE,37421.0,39746.0
2015-07-08,3,SE,34968.0,37536.0
2015-07-08,4,SE,31590.0,33342.0
2015-07-08,5,SE,29442.0,30601.0
2015-07-08,6,SE,28259.0,29267.0
2015-07-08,7,SE,27239.0,27993.0
2015-07-08,8,SE,26275.0,27199.0
2015-07-08,9,SE,25821.0,26825.0
2015-07-08,10,SE,26174.0,26914.0
2015-07-08,11,SE,27051.0,27861.0
2015-07-08,12,SE,27046.0,28170.0
2015-07-08,13,SE,28838.0,30473.0
2015-07-08,14,SE,31080.0,33037.0
2015-07-08,15,SE,33544.0,35850.0
2015-07-08,16,SE,36235.0,38468.0
2015-07-08,17,SE,39125.0,41315.0
2015-07-08,18,SE,40882.0,43127.0
2015-07-08,19,SE,42004.0,44520.0
2015-07-08,20,SE,42799.0,45375.0
2015-07-08,21,SE,43248.0,45890.0
2015-07-08,22,SE,42949.0,45508.0
2015-07-08,23,SE,42307.0,44484.0
2015-07-09,0,SE,41191.0,43128.0
2015-07-09,1,SE,39617.0,41489.0
2015-07-09,2,SE,38676.0,40727.0
2015-07-09,3,SE,36412.0,38248.0
2015-07-09,4,SE,33208.0,34551.0
2015-07-09,5,SE,30417.0,31818.0
2015-07-09,6,SE,28928.0,30105.0
2015-07-09,7,SE,27551.0,28614.0
2015-07-09,8,SE,26697.0,27826.0
2015-07-09,9,SE,26187.0,27386.0
2015-07-09,10,SE,26632.0,27707.0
2015-07-09,11,SE,27258.0,28243.0
2015-07-09,12,SE,27216.0,28399.0
2015-07-09,13,SE,29054.0,30840.0
2015-07-09,14,SE,31709.0,33575.0
2015-07-09,15,SE,34670.0,37208.0
2015-07-09,16,SE,37458.0,39962.0
2015-07-09,17,SE,39670.0,42195.0
2015-07-09,18,SE,41490.0,43851.0
2015-07-09,19,SE,42630.0,45249.0
2015-07-09,20,SE,43335.0,46241.0
2015-07-09,21,SE,43591.0,46531.0
2015-07-09,22,SE,43349.0,46087.0
2015-07-09,23,SE,42724.0,44789.0
2015-07-10,0,SE,41797.0,43929.0
2015-07-10,1,SE,39861.0,41113.0
2015-07-10,2,SE,39042.0,40610.0
2015-07-10,3,SE,36641.0,38521.0
2015-07-10,4,SE,33625.0,34880.0
2015-07-10,5,SE,29992.0,31365.0
2015-07-10,6,SE,30343.0,31428.0
2015-07-10,7,SE,28433.0,29027.0
2015-07-10,8,SE,27189.0,27872.0
2015-07-10,9,SE,26465.0,27183.0
2015-07-10,10,SE,26775.0,27463.0
2015-07-10,11,SE,27503.0,28388.0
2015-07-10,12,SE,28174.0,29490.0
2015-07-10,13,SE,29904.0,31504.0
2015-07-10,14,SE,32289.0,34156.0
2015-07-10,15,SE,35198.0,37488.0
2015-07-10,16,SE,38018.0,39522.0
2015-07-10,17,SE,40141.0,41644.0
2015-07-10,18,SE,41790.0,43881.0
2015-07-10,19,SE,42946.0,45362.0
2015-07-10,20,SE,43469.0,45713.0
2015-07-10,21,SE,43428.0,45818.0
2015-07-10,22,SE,42768.0,44926.0
2015-07-10,23,SE,42200.0,43086.0
2015-07-11,0,SE,40632.0,41846.0
2015-07-11,1,SE,38259.0,40142.0
2015-07-11,2,SE,37899.0,39479.0
2015-07-11,3,SE,35741.0,37526.0
2015-07-11,4,SE,32680.0,33699.0
2015-07-11,5,SE,30003.0,30489.0
2015-07-11,6,SE,28505.0,29182.0
2015-07-11,7,SE,27724.0,28222.0
2015-07-11,8,SE,26597.0,27163.0
2015-07-11,9,SE,25946.0,26516.0
2015-07-11,10,SE,25994.0,26270.0
2015-07-11,11,SE,25758.0,26184.0
2015-07-11,12,SE,25793.0,26405.0
2015-07-11,13,SE,27388.0,28439.0
2015-07-11,14,SE,30389.0,31447.0
2015-07-11,15,SE,33472.0,34923.0
2015-07-11,16,SE,36657.0,37888.0
2015-07-11,17,SE,38945.0,40281.0
2015-07-11,18,SE,40627.0,41854.0
2015-07-11,19,SE,41625.0,43149.0
2015-07-11,20,SE,42319.0,43915.0
2015-07-11,21,SE,42677.0,44307.0
2015-07-11,22,SE,42270.0,43701.0
2015-07-11,23,SE,41398.0,42596.0
2015-07-12,0,SE,39906.0,40886.0
2015-07-12,1,SE,37696.0,39585.0
2015-07-12,2,SE,37645.0,39120.0
2015-07-12,3,SE,35681.0,37374.0
2015-07-12,4,SE,32487.0,33815.0
2015-07-12,5,SE,29932.0,30879.0
2015-07-12,6,SE,28594.0,29246.0
2015-07-12,7,SE,27687.0,28321.0
2015-07-12,8,SE,26566.0,27114.0
2015-07-12,9,SE,25831.0,26409.0
2015-07-12,10,SE,25483.0,25790.0
2015-07-12,11,SE,25310.0,25758.0
2015-07-12,12,SE,25314.0,25727.0
2015-07-12,13,SE,26774.0,27455.0
2015-07-12,14,SE,29628.0,30595.0
2015-07-12,15,SE,32716.0,34364.0
2015-07-12,16,SE,35523.0,36850.0
2015-07-12,17,SE,37914.0,39206.0
2015-07-12,18,SE,39848.0,41182.0
2015-07-12,19,SE,40918.0,42411.0
2015-07-12,20,SE,41387.0,42875.0
