Date,Hour,region,Demand,Net generation
2015-07-01,0,TEN,18105.0,18617.5
2015-07-01,1,TEN,18105.0,18617.5
2015-07-01,2,TEN,18105.0,18617.5
2015-07-01,3,TEN,18105.0,18617.5
2015-07-01,4,TEN,18105.0,18617.5
2015-07-01,5,TEN,18105.0,18617.5
2015-07-01,6,TEN,16136.0,16196.0
2015-07-01,7,TEN,15503.0,15496.0
2015-07-01,8,TEN,14896.0,15028.0
2015-07-01,9,TEN,14663.0,14794.0
2015-07-01,10,TEN,14820.0,14961.0
2015-07-01,11,TEN,15344.0,15489.0
2015-07-01,12,TEN,16077.0,16399.0
2015-07-01,13,TEN,16919.0,17285.0
2015-07-01,14,TEN,17683.0,18065.0
2015-07-01,15,TEN,18527.0,19170.0
2015-07-01,16,TEN,19342.0,20271.0
2015-07-01,17,TEN,19844.0,21122.0
2015-07-01,18,TEN,20237.0,21518.0
2015-07-01,19,TEN,20336.0,21706.0
2015-07-01,20,TEN,20307.0,21787.0
2015-07-01,21,TEN,20269.0,21987.0
2015-07-01,22,TEN,20198.0,22007.0
2015-07-01,23,TEN,19906.0,21708.0
2015-07-02,0,TEN,19574.0,20646.0
2015-07-02,1,TEN,19081.0,20155.0
2015-07-02,2,TEN,19362.0,20393.0
2015-07-02,3,TEN,18914.0,19836.0
2015-07-02,4,TEN,17617.0,17780.0
2015-07-02,5,TEN,16274.0,16145.0
2015-07-02,6,TEN,15330.0,15360.0
2015-07-02,7,TEN,14725.0,15156.0
2015-07-02,8,TEN,14363.0,14743.0
2015-07-02,9,TEN,14314.0,14686.0
2015-07-02,10,TEN,14530.0,14988.0
2015-07-02,11,TEN,15305.0,15784.0
2015-07-02,12,TEN,15973.0,16259.0
2015-07-02,13,TEN,16814.0,16895.0
2015-07-02,14,TEN,17524.0,17731.0
2015-07-02,15,TEN,18127.0,18472.0
2015-07-02,16,TEN,18853.0,19346.0
2015-07-02,17,TEN,19353.0,19857.0
2015-07-02,18,TEN,19792.0,20422.0
2015-07-02,19,TEN,20320.0,21155.0
2015-07-02,20,TEN,20907.0,21829.0
2015-07-02,21,TEN,21130.0,22019.0
2015-07-02,22,TEN,21280.0,22230.0
2015-07-02,23,TEN,20994.0,21671.0
2015-07-03,0,TEN,20573.0,21253.0
2015-07-03,1,TEN,19998.0,20516.0
2015-07-03,2,TEN,20117.0,20614.0
2015-07-03,3,TEN,19412.0,19616.0
2015-07-03,4,TEN,18111.0,18046.0
2015-07-03,5,TEN,16638.0,16504.0
2015-07-03,6,TEN,15564.0,15534.0
2015-07-03,7,TEN,14803.0,15173.0
2015-07-03,8,TEN,14327.0,14626.0
2015-07-03,9,TEN,14087.0,14441.0
2015-07-03,10,TEN,14042.0,14480.0
2015-07-03,11,TEN,14151.0,14559.0
2015-07-03,12,TEN,14359.0,14703.0
2015-07-03,13,TEN,15020.0,15099.0
2015-07-03,14,TEN,15860.0,15950.0
2015-07-03,15,TEN,16778.0,17227.0
2015-07-03,16,TEN,17340.0,17984.0
2015-07-03,17,TEN,17685.0,18373.0
2015-07-03,18,TEN,17919.0,18837.0
2015-07-03,19,TEN,18181.0,19063.0
2015-07-03,20,TEN,18299.0,19182.0
2015-07-03,21,TEN,18300.0,19315.0
2015-07-03,22,TEN,18334.0,18935.0
2015-07-03,23,TEN,18174.0,18735.0
2015-07-04,0,TEN,17690.0,18053.0
2015-07-04,1,TEN,17375.0,17727.0
2015-07-04,2,TEN,17511.0,17771.0
2015-07-04,3,TEN,17015.0,17120.0
2015-07-04,4,TEN,16233.0,16484.0
2015-07-04,5,TEN,15097.0,15431.0
2015-07-04,6,TEN,14227.0,14557.0
2015-07-04,7,TEN,13469.0,13911.0
2015-07-04,8,TEN,12980.0,13481.0
2015-07-04,9,TEN,12903.0,13447.0
2015-07-04,10,TEN,12802.0,13494.0
2015-07-04,11,TEN,12841.0,13785.0
2015-07-04,12,TEN,12913.0,13795.0
2015-07-04,13,TEN,13552.0,13959.0
2015-07-04,14,TEN,14545.0,14976.0
2015-07-04,15,TEN,15701.0,16119.0
2015-07-04,16,TEN,16510.0,16913.0
2015-07-04,17,TEN,17211.0,17652.0
2015-07-04,18,TEN,17771.0,18641.0
2015-07-04,19,TEN,18129.0,19133.0
2015-07-04,20,TEN,18376.0,19278.0
2015-07-04,21,TEN,18523.0,19423.0
2015-07-04,22,TEN,18461.0,19371.0
2015-07-04,23,TEN,18097.0,18851.0
2015-07-05,0,TEN,17524.0,17879.0
2015-07-05,1,TEN,16889.0,17358.0
2015-07-05,2,TEN,16588.0,16801.0
2015-07-05,3,TEN,16193.0,16024.0
2015-07-05,4,TEN,15668.0,15663.0
2015-07-05,5,TEN,14701.0,14787.0
2015-07-05,6,TEN,13746.0,13890.0
2015-07-05,7,TEN,13128.0,13454.0
2015-07-05,8,TEN,12779.0,13349.0
2015-07-05,9,TEN,12406.0,13210.0
2015-07-05,10,TEN,12261.0,13212.0
2015-07-05,11,TEN,12367.0,13473.0
2015-07-05,12,TEN,12567.0,13780.0
2015-07-05,13,TEN,13439.0,14051.0
2015-07-05,14,TEN,14608.0,15071.0
2015-07-05,15,TEN,15637.0,16199.0
2015-07-05,16,TEN,16580.0,17165.0
2015-07-05,17,TEN,17591.0,18134.0
2015-07-05,18,TEN,18568.0,19360.0
2015-07-05,19,TEN,19283.0,20033.0
2015-07-05,20,TEN,19811.0,20639.0
2015-07-05,21,TEN,20341.0,20969.0
2015-07-05,22,TEN,20672.0,21049.0
2015-07-05,23,TEN,20770.0,21170.0
2015-07-06,0,TEN,20421.0,21048.0
2015-07-06,1,TEN,19723.0,20379.0
2015-07-06,2,TEN,19403.0,19671.0
2015-07-06,3,TEN,18692.0,18635.0
2015-07-06,4,TEN,17346.0,17442.0
2015-07-06,5,TEN,15897.0,15865.0
2015-07-06,6,TEN,14850.0,14874.0
2015-07-06,7,TEN,14144.0,14282.0
2015-07-06,8,TEN,13629.0,14169.0
2015-07-06,9,TEN,13526.0,14256.0
2015-07-06,10,TEN,13805.0,14398.0
2015-07-06,11,TEN,14492.0,15162.0
2015-07-06,12,TEN,15332.0,15866.0
2015-07-06,13,TEN,16439.0,17002.0
2015-07-06,14,TEN,17444.0,18242.0
2015-07-06,15,TEN,18655.0,19595.0
2015-07-06,16,TEN,19886.0,20932.0
2015-07-06,17,TEN,21036.0,22280.0
2015-07-06,18,TEN,22090.0,23487.0
2015-07-06,19,TEN,23108.0,24180.0
2015-07-06,20,TEN,23771.0,24515.0
2015-07-06,21,TEN,24346.0,24971.0
2015-07-06,22,TEN,24647.0,25098.0
2015-07-06,23,TEN,24510.0,24988.0
2015-07-07,0,TEN,23970.0,24540.0
2015-07-07,1,TEN,23035.0,23648.0
2015-07-07,2,TEN,22688.0,23292.0
2015-07-07,3,TEN,21567.0,22123.0
2015-07-07,4,TEN,19769.0,20386.0
2015-07-07,5,TEN,17981.0,18222.0
2015-07-07,6,TEN,16778.0,17326.0
2015-07-07,7,TEN,15914.0,16777.0
2015-07-07,8,TEN,15376.0,16463.0
2015-07-07,9,TEN,15037.0,16217.0
2015-07-07,10,TEN,15288.0,16426.0
2015-07-07,11,TEN,15874.0,16940.0
2015-07-07,12,TEN,16722.0,17478.0
2015-07-07,13,TEN,17952.0,18530.0
2015-07-07,14,TEN,19452.0,20119.0
2015-07-07,15,TEN,20876.0,21608.0
2015-07-07,16,TEN,22467.0,23243.0
2015-07-07,17,TEN,23697.0,24463.0
2015-07-07,18,TEN,24737.0,25392.0
2015-07-07,19,TEN,25567.0,25968.0
2015-07-07,20,TEN,26117.0,26487.0
2015-07-07,21,TEN,26231.0,26304.0
2015-07-07,22,TEN,26138.0,26008.0
2015-07-07,23,TEN,25610.0,25297.0
2015-07-08,0,TEN,24572.0,24332.0
2015-07-08,1,TEN,23633.0,23603.0
2015-07-08,2,TEN,23224.0,23530.0
2015-07-08,3,TEN,22145.0,22360.0
2015-07-08,4,TEN,20350.0,20546.0
2015-07-08,5,TEN,18564.0,18569.0
2015-07-08,6,TEN,17252.0,17500.0
2015-07-08,7,TEN,16302.0,16624.0
2015-07-08,8,TEN,15776.0,16331.0
2015-07-08,9,TEN,15365.0,16104.0
2015-07-08,10,TEN,15373.0,15949.0
2015-07-08,11,TEN,15941.0,16427.0
2015-07-08,12,TEN,16807.0,17437.0
2015-07-08,13,TEN,18034.0,18797.0
2015-07-08,14,TEN,19357.0,20040.0
2015-07-08,15,TEN,21099.0,22007.0
2015-07-08,16,TEN,22782.0,23560.0
2015-07-08,17,TEN,24037.0,24877.0
2015-07-08,18,TEN,24917.0,25444.0
2015-07-08,19,TEN,25858.0,25882.0
2015-07-08,20,TEN,26484.0,26502.0
2015-07-08,21,TEN,26833.0,26526.0
2015-07-08,22,TEN,26874.0,26477.0
2015-07-08,23,TEN,26633.0,26248.0
2015-07-09,0,TEN,25885.0,25905.0
2015-07-09,1,TEN,24754.0,25036.0
2015-07-09,2,TEN,24337.0,24752.0
2015-07-09,3,TEN,23187.0,23571.0
2015-07-09,4,TEN,21237.0,21602.0
2015-07-09,5,TEN,19399.0,19609.0
2015-07-09,6,TEN,18030.0,18259.0
2015-07-09,7,TEN,17073.0,17489.0
2015-07-09,8,TEN,16423.0,16836.0
2015-07-09,9,TEN,16062.0,16597.0
2015-07-09,10,TEN,16233.0,17001.0
2015-07-09,11,TEN,16826.0,17604.0
2015-07-09,12,TEN,17541.0,18172.0
2015-07-09,13,TEN,19010.0,19597.0
2015-07-09,14,TEN,20597.0,21258.0
2015-07-09,15,TEN,22397.0,23344.0
2015-07-09,16,TEN,24121.0,25138.0
2015-07-09,17,TEN,25215.0,25904.0
2015-07-09,18,TEN,26095.0,26431.0
2015-07-09,19,TEN,26791.0,27323.0
2015-07-09,20,TEN,27303.0,27859.0
2015-07-09,21,TEN,27560.0,28104.0
2015-07-09,22,TEN,27626.0,28031.0
2015-07-09,23,TEN,27348.0,27933.0
2015-07-10,0,TEN,26623.0,27447.0
2015-07-10,1,TEN,25447.0,26240.0
2015-07-10,2,TEN,24837.0,25611.0
2015-07-10,3,TEN,23601.0,24379.0
2015-07-10,4,TEN,21583.0,22247.0
2015-07-10,5,TEN,19581.0,19732.0
2015-07-10,6,TEN,18139.0,18463.0
2015-07-10,7,TEN,17148.0,17527.0
2015-07-10,8,TEN,16296.0,16803.0
2015-07-10,9,TEN,15915.0,16470.0
2015-07-10,10,TEN,15970.0,16526.0
2015-07-10,11,TEN,16443.0,17124.0
2015-07-10,12,TEN,17266.0,17759.0
2015-07-10,13,TEN,18570.0,19150.0
2015-07-10,14,TEN,20382.0,21245.0
2015-07-10,15,TEN,22307.0,23257.0
2015-07-10,16,TEN,24047.0,24784.0
2015-07-10,17,TEN,25353.0,26007.0
2015-07-10,18,TEN,26392.0,26728.0
2015-07-10,19,TEN,27184.0,27375.0
2015-07-10,20,TEN,27608.0,27977.0
2015-07-10,21,TEN,27835.0,28176.0
2015-07-10,22,TEN,27874.0,28415.0
2015-07-10,23,TEN,27335.0,27909.0
2015-07-11,0,TEN,26515.0,27344.0
2015-07-11,1,TEN,25090.0,25880.0
2015-07-11,2,TEN,24549.0,25108.0
2015-07-11,3,TEN,23442.0,23757.0
2015-07-11,4,TEN,21636.0,21672.0
2015-07-11,5,TEN,19725.0,19608.0
2015-07-11,6,TEN,18295.0,18517.0
2015-07-11,7,TEN,17268.0,17472.0
2015-07-11,8,TEN,16498.0,16698.0
2015-07-11,9,TEN,15968.0,16198.0
2015-07-11,10,TEN,15711.0,15960.0
2015-07-11,11,TEN,15607.0,15891.0
2015-07-11,12,TEN,15737.0,16089.0
2015-07-11,13,TEN,17009.0,17074.0
2015-07-11,14,TEN,18908.0,19225.0
2015-07-11,15,TEN,20909.0,21343.0
2015-07-11,16,TEN,22814.0,23629.0
2015-07-11,17,TEN,24269.0,25058.0
2015-07-11,18,TEN,25295.0,26185.0
2015-07-11,19,TEN,25969.0,26634.0
2015-07-11,20,TEN,26260.0,26772.0
2015-07-11,21,TEN,26551.0,27272.0
2015-07-11,22,TEN,26435.0,27311.0
2015-07-11,23,TEN,26256.0,27103.0
2015-07-12,0,TEN,25642.0,26486.0
2015-07-12,1,TEN,24582.0,24983.0
2015-07-12,2,TEN,23970.0,24244.0
2015-07-12,3,TEN,22708.0,22773.0
2015-07-12,4,TEN,20981.0,20966.0
2015-07-12,5,TEN,19231.0,19184.0
2015-07-12,6,TEN,17845.0,18050.0
2015-07-12,7,TEN,16724.0,17104.0
2015-07-12,8,TEN,15974.0,16281.0
2015-07-12,9,TEN,15568.0,15871.0
2015-07-12,10,TEN,15330.0,15611.0
2015-07-12,11,TEN,15136.0,15456.0
2015-07-12,12,TEN,15278.0,15738.0
2015-07-12,13,TEN,16627.0,16693.0
2015-07-12,14,TEN,18647.0,19036.0
2015-07-12,15,TEN,20508.0,21375.0
2015-07-12,16,TEN,22107.0,23184.0
2015-07-12,17,TEN,23151.0,24171.0
2015-07-12,18,TEN,23889.0,24718.0
2015-07-12,19,TEN,24684.0,25589.0
2015-07-12,20,TEN,25217.0,26085.0
2015-07-12,21,TEN,25797.0,26688.0
2015-07-12,22,TEN,26089.0,27002.0
2015-07-12,23,TEN,25967.0,26877.0
2015-07-13,0,TEN,25455.0,26381.0
2015-07-13,1,TEN,24657.0,25499.0
2015-07-13,2,TEN,24110.0,24666.0
2015-07-13,3,TEN,22965.0,23267.0
2015-07-13,4,TEN,21239.0,21532.0
2015-07-13,5,TEN,19568.0,19844.0
2015-07-13,6,TEN,18279.0,18743.0
2015-07-13,7,TEN,17467.0,18112.0
2015-07-13,8,TEN,16708.0,17214.0
2015-07-13,9,TEN,16371.0,16861.0
2015-07-13,10,TEN,16576.0,17122.0
2015-07-13,11,TEN,17131.0,17660.0
2015-07-13,12,TEN,17954.0,18405.0
2015-07-13,13,TEN,19655.0,20247.0
2015-07-13,14,TEN,21380.0,22072.0
2015-07-13,15,TEN,23336.0,23919.0
2015-07-13,16,TEN,25268.0,26043.0
2015-07-13,17,TEN,26403.0,27006.0
2015-07-13,18,TEN,27553.0,27838.0
2015-07-13,19,TEN,28248.0,28656.0
2015-07-13,20,TEN,28816.0,28976.0
2015-07-13,21,TEN,29032.0,28960.0
2015-07-13,22,TEN,28934.0,28981.0
2015-07-13,23,TEN,28485.0,28500.0
2015-07-14,0,TEN,27671.0,28159.0
2015-07-14,1,TEN,26762.0,27556.0
2015-07-14,2,TEN,26212.0,26734.0
2015-07-14,3,TEN,24972.0,25442.0
2015-07-14,4,TEN,22872.0,23261.0
2015-07-14,5,TEN,21063.0,21444.0
2015-07-14,6,TEN,19698.0,19986.0
2015-07-14,7,TEN,18691.0,18997.0
2015-07-14,8,TEN,18100.0,18347.0
2015-07-14,9,TEN,17687.0,17954.0
2015-07-14,10,TEN,17835.0,18114.0
2015-07-14,11,TEN,18603.0,18807.0
2015-07-14,12,TEN,19235.0,19546.0
2015-07-14,13,TEN,20487.0,20906.0
2015-07-14,14,TEN,21576.0,22217.0
2015-07-14,15,TEN,22999.0,23529.0
2015-07-14,16,TEN,24216.0,24937.0
2015-07-14,17,TEN,25398.0,26047.0
2015-07-14,18,TEN,26558.0,27213.0
2015-07-14,19,TEN,27480.0,28108.0
2015-07-14,20,TEN,27680.0,28319.0
2015-07-14,21,TEN,27132.0,27823.0
2015-07-14,22,TEN,25778.0,26449.0
2015-07-14,23,TEN,24541.0,25327.0
2015-07-15,0,TEN,23275.0,24126.0
2015-07-15,1,TEN,22314.0,23056.0
2015-07-15,2,TEN,21887.0,22308.0
2015-07-15,3,TEN,20952.0,21448.0
2015-07-15,4,TEN,19481.0,19988.0
2015-07-15,5,TEN,17999.0,18266.0
2015-07-15,6,TEN,16822.0,17021.0
2015-07-15,7,TEN,16120.0,16288.0
2015-07-15,8,TEN,15704.0,15944.0
